doi,gen,ref,ratio
10.1002/adfm.201502995,0,4,0.0
10.1002/adfm.201505106,0,10,0.0
10.1002/adfm.201602501,0,14,0.0
10.1002/adfm.201602507,0,8,0.0
10.1002/adfm.201603520,0,12,0.0
10.1002/adfm.201704927,0,2,0.0
10.1002/adfm.201706023,0,8,0.0
10.1002/adfm.201707002,0,2,0.0
10.1002/adfm.201800429,0,2,0.0
10.1002/adfm.201802031,0,12,0.0
10.1002/adma.200900634,3,0,
10.1002/adma.201500267,0,6,0.0
10.1002/adma.201502053,0,7,0.0
10.1002/adma.201505491,0,12,0.0
10.1002/adma.201506391,0,4,0.0
10.1002/adma.201602127,0,4,0.0
10.1002/adma.201705641,0,9,0.0
10.1002/adma.201804228,0,54,0.0
10.1002/adom.201600843,0,4,0.0
10.1002/adom.201801282,0,6,0.0
10.1002/adom.201801536,0,4,0.0
10.1002/adom.201900476,0,4,0.0
10.1002/adom.201901150,0,2,0.0
10.1002/ajoc.201402024,6,3,2.0
10.1002/ange.201911266,0,3,0.0
10.1002/anie.201308826,0,10,0.0
10.1002/anie.201402992,0,11,0.0
10.1002/anie.201508270,0,6,0.0
10.1002/anie.201709125,0,2,0.0
10.1002/anie.201806323,0,2,0.0
10.1002/anie.201904272,0,2,0.0
10.1002/bio.2400,3,11,0.2727272727272727
10.1002/chem.201301020,0,27,0.0
10.1002/chem.201301903,0,16,0.0
10.1002/chem.201404745,0,2,0.0
10.1002/chem.201604883,0,10,0.0
"10.1002/chem.201604883,",0,2,0.0
10.1002/chem.201605820,0,12,0.0
10.1002/chem.201803428,0,15,0.0
10.1002/ejoc.201800161,0,2,0.0
10.1002/hc.21058,2,8,0.25
10.1002/poc.1222,4,12,0.3333333333333333
10.1002/smll.201901342,0,1,0.0
10.1007/BF00723901,0,41,0.0
10.1007/s00706-008-0944-y,0,12,0.0
10.1007/s10895-005-2525-3,12,10,1.2
10.1007/s10895-011-0872-9,0,16,0.0
10.1007/s10895-017-2028-z,0,10,0.0
10.1007/s10895-019-02349-5,0,24,0.0
10.1007/s10895-019-02361-9,0,24,0.0
10.1016/0003-2670(93)80128-8,0,40,0.0
10.1016/0022-2313(91)90052-W,0,6,0.0
10.1016/0022-2313(92)90006-U,0,14,0.0
10.1016/0022-2313(94)90073-6,0,18,0.0
10.1016/0022-2852(67)90089-6,0,8,0.0
10.1016/0022-2860(86)85086-4,0,4,0.0
10.1016/0047-2670(86)87007-1,0,26,0.0
10.1016/0047-2670(87)85034-7,0,20,0.0
10.1016/0584-8539(94)E0121-P,0,6,0.0
10.1016/1010-6030(88)80035-2,0,5,0.0
10.1016/1010-6030(89)87112-6,0,9,0.0
10.1016/1010-6030(91)85023-A,0,3,0.0
10.1016/1010-6030(92)85164-P,0,10,0.0
10.1016/1010-6030(94)03831-7,0,8,0.0
10.1016/1010-6030(94)03921-G,0,26,0.0
10.1016/1010-6030(94)03924-J,0,19,0.0
10.1016/1010-6030(94)03949-U,0,3,0.0
10.1016/1010-6030(95)04187-7,0,10,0.0
10.1016/1011-1344(95)90245-10,0,1,0.0
10.1016/1011-1344(95)90245-11,0,1,0.0
10.1016/1011-1344(95)90245-12,0,1,0.0
10.1016/1011-1344(95)90245-13,0,1,0.0
10.1016/1011-1344(95)90245-14,0,1,0.0
10.1016/1011-1344(95)90245-7,0,1,0.0
10.1016/1011-1344(95)90245-8,0,1,0.0
10.1016/1011-1344(95)90245-9,0,1,0.0
10.1016/S0006-3495(96)79393-1,0,4,0.0
10.1016/S0009-2614(02)00147-1,0,17,0.0
10.1016/S0009-2614(02)00784-4,0,18,0.0
10.1016/S0009-2614(97)00140-1,0,10,0.0
10.1016/S0009-2614(97)00394-1,0,20,0.0
10.1016/S0009-2614(98)00264-4,0,5,0.0
10.1016/S0009-2614(99)00316-4,0,16,0.0
10.1016/S0022-2313(01)00243-5,0,9,0.0
10.1016/S0022-2313(97)00315-3,0,4,0.0
10.1016/S0022-2860(98)00375-5,0,13,0.0
10.1016/S0022-328X(01)01391-2,0,4,0.0
10.1016/S0040-4020(02)00092-3,0,10,0.0
10.1016/S0040-4039(00)01039-X,0,3,0.0
10.1016/S0143-7208(00)00078-4,0,7,0.0
10.1016/S0143-7208(03)00028-7,7,14,0.5
10.1016/S0143-7208(97)00007-7,0,4,0.0
10.1016/S0301-0104(00)00378-5,0,8,0.0
10.1016/S0301-0104(01)00575-4,0,8,0.0
10.1016/S0301-0104(97)00018-9,0,13,0.0
10.1016/S0301-0104(98)00215-8,0,25,0.0
10.1016/S1010-6030(00)00230-6,0,52,0.0
10.1016/S1010-6030(00)00308-7,0,54,0.0
10.1016/S1010-6030(00)00359-2,0,20,0.0
10.1016/S1010-6030(00)00360-9,0,24,0.0
10.1016/S1010-6030(01)00471-3,0,2,0.0
10.1016/S1010-6030(01)00597-4,0,15,0.0
10.1016/S1010-6030(02)00301-5,0,6,0.0
10.1016/S1010-6030(02)00317-9,0,3,0.0
10.1016/S1010-6030(96)04410-3,0,4,0.0
10.1016/S1010-6030(97)00192-5,0,13,0.0
10.1016/S1010-6030(98)00275-5,0,10,0.0
10.1016/S1010-6030(99)00135-5,0,4,0.0
10.1016/S1010-6030(99)00218-X,0,1,0.0
10.1016/S1010-6030(99)00246-4,0,63,0.0
10.1016/S1011-1344(01)00197-X,0,7,0.0
10.1016/S1011-1344(97)00075-4,0,37,0.0
10.1016/S1386-1425(00)00350-4,0,6,0.0
10.1016/S1386-1425(01)00550-9,0,3,0.0
10.1016/S1386-1425(01)00599-6,0,33,0.0
10.1016/S1386-1425(01)00616-3,0,42,0.0
10.1016/S1386-1425(02)00164-6,0,15,0.0
10.1016/S1386-1425(02)00207-X,0,35,0.0
10.1016/S1386-1425(02)00300-1,0,36,0.0
10.1016/S1386-1425(99)00050-5,0,13,0.0
10.1016/S1386-1425(99)00059-1,0,11,0.0
10.1016/S1386-1425(99)00200-0,0,25,0.0
10.1016/j.arabjc.2019.05.006,0,3,0.0
10.1016/j.bioorg.2017.02.015,6,3,2.0
10.1016/j.bmc.2003.08.006,0,12,0.0
