idx	SMILES_or_compound	Solvent	Gen_DOI	Reason	#ref_matches
91	Cyclohexane		10.1016/S1010-6030(00)00230-7	no_reference_doi	0
93	H		10.1016/S1010-6030(00)00230-9	no_reference_doi	0
95	HFIP		10.1016/S0009-2614(02)00784-5	no_reference_doi	0
98	methyl		10.1023/B:JOFL.0000014660.59105.31	no_reference_doi	0
100	acetonitrile		10.1023/B:JOFL.0000014660.59105.31	no_reference_doi	0
101	benzene		10.1023/B:JOFL.0000014660.59105.31	no_reference_doi	0
138	ethoxy		10.A_1025037832286	no_reference_doi	0
141	5-MeOSA		10.A_1025037832286	no_reference_doi	0
142	Methoxy		10.A_1025037832286	no_reference_doi	0
144	5-ASA		10.A_1025037832286	no_reference_doi	0
145	4-ASA		10.A_1025037832286	no_reference_doi	0
147	OH		10.A_1025037832286	no_reference_doi	0
276	1,2-dichloroisobutane		10.1002/adma.200900634	no_reference_doi	0
545	NADH		10.References	no_reference_doi	0
546	NaOH		10.References	no_reference_doi	0
547	p-Terphenyl		10.References	no_reference_doi	0
549	PPO		10.References	no_reference_doi	0
550	POPOP		10.References	no_reference_doi	0
551	Dimethyl-POPOP		10.References	no_reference_doi	0
552	L-Tyrosine		10.References	no_reference_doi	0
553	Anthranilic Acid		10.References	no_reference_doi	0
554	Indole		10.References	no_reference_doi	0
555	Fluorescein		10.References	no_reference_doi	0
556	Rhodamine B		10.References	no_reference_doi	0
559	DCS		10.References	no_reference_doi	0
561	Cyclohexane		10.References	no_reference_doi	0
562	Cresyl Violet		10.References	no_reference_doi	0
563	Quinine Sulfate		10.References	no_reference_doi	0
564	Rhodamine		10.References	no_reference_doi	0
565	Tryptophan		10.References	no_reference_doi	0
566	Tyrosine		10.References	no_reference_doi	0
567	Calcium		10.References	no_reference_doi	0
568	Fura-2		10.References	no_reference_doi	0
569	Indo-1		10.References	no_reference_doi	0
570	Ca		10.References	no_reference_doi	0
572	Magnesium		10.References	no_reference_doi	0
574	Mg		10.References	no_reference_doi	0
575	Potassium		10.References	no_reference_doi	0
576	Sodium		10.References	no_reference_doi	0
577	Sodium Green		10.References	no_reference_doi	0
578	Carboxy		10.References	no_reference_doi	0
579	Resorufin		10.References	no_reference_doi	0
582	Cyanine		10.References	no_reference_doi	0
584	Methanol		10.References	no_reference_doi	0
585	Ethanol		10.References	no_reference_doi	0
586	Rhodamine 6G		10.References	no_reference_doi	0
2	cyclohexane		10.1021/ol025972l	unresolved_identity_match	0
3	fluorescein		10.1021/ol0162264	unresolved_identity_match	0
7	perylene		10.1021/ol0268687	unresolved_identity_match	0
10	quartz		10.1021/ol0268687	unresolved_identity_match	0
12	ethanol		10.1021/ol0268687	unresolved_identity_match	0
13	biphenyl		10.1021/ol0268687	unresolved_identity_match	0
14	CH3CN		10.1021/ol0268687	unresolved_identity_match	0
16	hydrogen		10.1016/S1010-6030(99)00246-4	unresolved_identity_match	0
19	-4a		10.1021/jo010267w	unresolved_identity_match	0
20	THF		10.1021/jo010267w	unresolved_identity_match	0
22	n-hexane		10.1021/jo010267w	unresolved_identity_match	0
23	hexane		10.1021/jo010267w	unresolved_identity_match	0
24	2,4,5-Triphenylimidazole		10.1021/jo010267w	unresolved_identity_match	0
25	perfluorocyclopentene		10.1021/jo010267w	unresolved_identity_match	0
26	cyclohexane		10.1021/jo010267w	unresolved_identity_match	0
30	C60		10.1021/jp992495o	unresolved_identity_match	0
33	cyclohexane		10.1021/jp992495o	unresolved_identity_match	0
34	quartz		10.1021/jp992495o	unresolved_identity_match	0
35	methylcyclohexane		10.1021/jp992495o	unresolved_identity_match	0
37	benzophenone		10.1021/jp992495o	unresolved_identity_match	0
