paper,doi,compound,absorption_max,absorption_max_flag,emission_max,emission_max_flag,quantum_yield,quantum_yield_flag,lifetime,lifetime_flag,molar_absorptivity,molar_absorptivity_flag,status
1016.j.tet.2015.07.074.pdf,,,,missing,,missing,,missing,,missing,,missing,error: Unable to read document
1021.ol025972l.pdf,10.1021/ol025972l,unknown,329-334,range_value,,,,,,,,,extracted
1021.ol025972l.pdf,10.1021/ol025972l,cyclohexane,,,,,73-78,invalid_format,,,,,extracted
hwang-et-al-2001-novel-fluorophores-efficient-synthesis-and-photophysical-study.pdf,10.1021/ol0162264,fluorescein,,,,,244,out_of_range(244.0),244,valid,,,extracted
1016.S1010-6030(01)00597-4.pdf,,,,missing,,missing,,missing,,missing,,missing,timeout
1021.ol0200403.pdf,10.1021/ol0200403,CHCl3 H2O H2O,,,,,30,out_of_range(30.0),,,,,extracted
1021.ol0200403.pdf,10.1021/ol0200403,DsRed,482,valid,565,valid,,,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,perylene,375,valid,,,0.92,valid,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,diaza-perylene,375,valid,,,,,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,unknown,17-20,range_value,17-20,range_value,,,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,quartz,0.1,out_of_range(0.1),,,,,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,"2,8-dimethoxy-",555,valid,555,valid,,,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,ethanol,,,,,1,valid,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,biphenyl,,,,,0.81,valid,,,,,extracted
1021.ol0268687.pdf,10.1021/ol0268687,CH3CN,,,,,0.81,valid,,,,,extracted
1016.S1010-6030(99)00246-4.pdf,,ﬂuorescence,,,,,30,out_of_range(30.0),,,,,extracted
1016.S1010-6030(99)00246-4.pdf,,hydrogen,,,,,30,out_of_range(30.0),,,,,extracted
1016.S1010-6030(99)00246-4.pdf,,unknown,,,,,4,out_of_range(4.0),,,,,extracted
1021.jo0110505.pdf,,,,missing,,missing,,missing,,missing,,missing,error: The size of tensor a (540) must match the size of 
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,-4a,366,valid,,,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,THF,556,valid,420,valid,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,diarylethene,234,valid,,,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,n-hexane,400,valid,366,valid,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,hexane,366,valid,420,valid,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,"2,4,5-Triphenylimidazole",366,valid,366,valid,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,perfluorocyclopentene,366,valid,,,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,cyclohexane,366,valid,,,,,,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,2-thienyl,366,valid,,,9.1,out_of_range(9.1),,,,,extracted
yagi-et-al-2001-synthesis-of-fluorescent-diarylethenes-having-a-2-4-5-triphenylimidazole-chromophore.pdf,10.1021/jo010267w,di-thienylethenes,,,,,2,out_of_range(2.0),,,,,extracted
1021.ja070822x.pdf,,"3,7-dibromo-dibenzosuberenone",454-483,range_value,454-483,range_value,,,,,,,extracted
foley-et-al-1999-photophysical-properties-of-pseudo-dihydro-derivatives-of-c70.pdf,10.1021/jp992495o,C60,,,,,,,1.1,valid,,,extracted
foley-et-al-1999-photophysical-properties-of-pseudo-dihydro-derivatives-of-c70.pdf,10.1021/jp992495o,unknown,18,out_of_range(18.0),700,valid,6,out_of_range(6.0),6,valid,,,extracted
foley-et-al-1999-photophysical-properties-of-pseudo-dihydro-derivatives-of-c70.pdf,10.1021/jp992495o,C70,590,valid,,,10-100,invalid_format,,,,,extracted
foley-et-al-1999-photophysical-properties-of-pseudo-dihydro-derivatives-of-c70.pdf,10.1021/jp992495o,cyclohexane,,,,,7,out_of_range(7.0),,,,,extracted
foley-et-al-1999-photophysical-properties-of-pseudo-dihydro-derivatives-of-c70.pdf,10.1021/jp992495o,quartz,,,,,30,out_of_range(30.0),,,,,extracted
