reactants,products,paper,Valid
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccccc1,O=C(c1ccccc1)C1C(C(F)F)NN(c2ccccc2)C1c1ccccc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccccc1,[O-][NH++]([O-])c1c(nn(c2ccccc2)c1c3ccccc3)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccccc1,O=C(c1ccccc1)C1C(C(F)F)NN(c2ccccc2)C1c1ccccc1.O=C(c1ccccc1)C1C(C(F)F)NN(c2ccccc2)C1c1ccccc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
Cc1ccc(C(=O)/C=C/c2ccccc2)cc1.FC(F)=NN=C(Br)c1ccccc1,Cc1ccc(C(C(=O)c2ccccc2)C2NNC(C(F)F)N2c2ccccc2)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)C1CCCCC1.O=C2CCC3C(C2)OC[O]3\C=C\C4CCCCC4,O=C(c1ccc2c(c1)OCO2)C1C(c2ccccc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccc(F)cc1)c1ccccc1,O=C(c1ccccc1)C1C(c2ccc(F)cc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccc(Br)cc1)c1ccccc1,O=C(c1ccccc1)C1C(c2ccc(Br)cc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1,O=C(c1ccccc1)C1C(c2ccc([N+](=O)[O-])cc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1cccc2ccccc12)c1ccccc1,O=C(c1ccccc1)C1C(c2cccc3ccccc23)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
Cc1ccc(C(=O)/C=C/c2ccccc2)cc1.FC(F)=NN=C(Br)c1ccccc1,Cc1ccc(C(=O)C2C(c3ccccc3)NNC2N(c2ccccc2)C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COc1ccc(C(=O)/C=C/c2ccccc2)cc1.FC(F)=NN=C(Br)c1ccccc1,COc1ccc(C(=O)C2C(c3ccccc3)NNC2N(c2ccccc2)C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.Nc1ccc(C(=O)/C=C/c2ccccc2)cc1,Nc1ccc(C(=O)C2C(c3ccccc3)NNC2N(c2ccccc2)C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccc2c(c1)OCO2,O=C(c1ccc2c(c1)OCO2)C1C(c2ccccc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccc(F)cc1,O=C(c1ccc(F)cc1)C1C(c2ccccc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccc(Br)cc1,O=C(c1ccc(Br)cc1)C1C(c2ccccc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccc([N+](=O)[O-])cc1,O=C(c1ccc([N+](=O)[O-])cc1)C1C(c2ccccc2)NNC1N(c1ccccc1)C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
