,mistral_7b-instruct-v0.3-fp16,qwen2_7b-instruct-fp16,falcon,nemotron
pKa,-,-,-,-
TP,15,10,3,34
TN,45,15,25,42
FP,23,15,1,12
FN,17,10,1,8
recall,0.46875,0.5,0.75,0.8095238095
precision,0.3947368421,0.4,0.75,0.7391304348
f1,0.4285714286,0.4444444444,0.75,0.7727272727
,,,,
chr,-,-,-,-
TP,9,34,7,14
TN,52,24,18,78
FP,33,38,1,0
FN,5,3,4,7
recall,0.6428571429,0.9189189189,0.6363636364,0.6666666667
precision,0.2142857143,0.4722222222,0.875,1
f1,0.3214285714,0.623853211,0.7368421053,0.8
,,,,
mof,-,-,-,-
TP,3,3,4,7
TN,9,20,23,25
FP,18,4,1,0
FN,0,3,2,0
recall,1,0.5,0.6666666667,1
precision,0.1428571429,0.4285714286,0.8,1
f1,0.25,0.4615384615,0.7272727273,1
