iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,TP/TN/FP/FN,Notes
6-carboxyfluorescein,PBS,520,520,0.97,null,Donor dye with high quantum yield and strong coupling properties.,arxiv_2009.03429v2,TP,
null,null,null,null,null,null,null,arxiv_2203.07176v1,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-kpf0x,FN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5vpzk-v2,TN,
BODIPY 8,H2O,560,600,0.78,2.5e4 (560 nm),Naphthyridine-substituted with strong emission at 600 nm.,chemrxiv_10.26434_SLASH_chemrxiv-2023-8v4gb,TP,
bicyclo[1.1.1]pentane,THF,null,null,0.5,null,BCP derivatives used in calix[4]pyrrole synthesis; properties include liquid crystal behavior and molecular rotation.,chemrxiv_10.26434_SLASH_chemrxiv-2023-b1t07,FP,
tpe-tpa,chloroform,376,367,0.08,null,modulation of the photochromic properties of TPE and other tetrasubstituted olefins by the 'amino conjugation effect' a quantitative study,chemrxiv_10.26434_SLASH_chemrxiv-2023-b9x37,TP,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-m2462-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c8x0p-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hq04v,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jd2bq-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l5vns,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wkdpf,FN,
4-bromomethylphenylacetyl,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12016314.v2,TN,
naphthalene diimide,DMF,360,540,0.05,null,The conjugation of naphthalene diimide with carbon dots was confirmed by UV-Vis spectra showing absorption at 360 nm.,chemrxiv_10.26434_SLASH_chemrxiv.12479993.v2,TP,
congo_red,dmf,null,null,null,null,azo dye used for pH indication and modification of carbon nanotubes.,chemrxiv_10.26434_SLASH_chemrxiv.12739946.v3,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13621421.v1,TN,
null,null,null,null,null,null,null,Pubmed_10249344,TN,
"4 H-1,3-benzothiazine-8-amine",DMSO,null,null,null,null,"Benzothiazine-based dyes evaluated for DNA-binding abilities; moderate to strong stabilization of DNA structure upon binding, suggesting groove binding interactions.",Pubmed_10254314,FN,
DNA,aqueous saline buffer containing 0.01 M NaH2PO4 and 0.3 M NaCl (pH ≈ 7.4),260,null,null,null,Data on DNA acting as a chromophore in cholesteric liquid-crystalline dispersions with varying PEG concentrations affecting optical activity.,Pubmed_10379083,TP,
null,null,null,null,null,null,null,Pubmed_10444859,TN,
null,null,null,null,null,null,null,Pubmed_10444895,TN,
failed,failed,failed,failed,failed,failed,failed,Pubmed_10487913,TN,
null,null,null,null,null,null,null,Pubmed_10488698,FN,
null,null,null,null,null,null,null,Pubmed_10488735,TN,
null,null,null,null,null,null,null,Pubmed_10530976,TN,
null,null,null,null,null,null,null,Pubmed_10656448,TN,
W3,chloroform,null,null,0.57,null,Chromophore W3 modified with cyano groups for efficient charge transfer.,Pubmed_10876087,TP,
null,null,null,null,null,null,null,Pubmed_10913071,TN,
null,null,null,null,null,null,null,pubmed_10915545,,
null,null,null,null,null,null,null,pubmed_11083073,,
bodipy-3b,acetonitrile,893.45,910.53,0.73,null (absorption and emission not explicitly provided),BODIPY derivative 3b with meso-substitution and benzimidazole at position 2; shows absorption maxima at 893.45 nm and emission maxima at 910.53 nm; quantum yield of 0.73,pubmed_11085077,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11093412,,
null,null,null,null,null,null,null,pubmed_11350731,,
null,null,null,null,null,null,null,pubmed_11491490,,
dipyrroethene-based-schiff-base-6a,"1,2-dichloroethane",437.5,563.5,0.16,4.32 (mol⁻¹dm³cm⁻¹),Dual-state emissive chromophore with pH-responsive properties,pubmed_11664251,,
null,null,null,null,null,null,null,pubmed_11803249,,
null,null,null,null,null,null,null,pubmed_11814407,,
null,null,null,null,null,null,null,pubmed_9151500,,
null,null,null,null,null,null,null,pubmed_9171828,,
hypocrellin D,"phosphate-buffered solution (50 mM, pH = 7), H2O2",470,null,null,null,HYPs are natural perylene quinone derivatives with excellent photosensitization properties used in a photocatalytic advanced oxidation process to degrade Rhodamine B. Their stability and self-degradation under alkaline conditions make them promising photocatalysts for organic pollutant remediation.,pubmed_9312347,,
Be₃Al₂(Si₆O₁₈),null,440,616,null,null,Emerald: Absorption bands at 440 and 616 nm due to Cr³⁺ and V³⁺; emission band at 682 nm due to Cr³⁺.,pubmed_9330567,,
O2-V-Fla-S1,CDCl3,null,null,null,null,"Flavylium salt with thioether substitution at B ring, exhibiting lamellar mesophases.",pubmed_9400860,,
null,null,null,null,null,null,null,pubmed_9405577,,
4-dimethylamino-4′-nitrobiphenyl,polystyrene (PS) and tetrahydrofuran (THF),425,510,0.48,null (absorption wavelength provided in text),DNBP shows strong fluorescence enhancement with dipole SPR bands of SCFs,pubmed_9418669,,
null,null,null,null,null,null,null,pubmed_9612091,,
null,null,null,null,null,null,null,pubmed_9698242,,
Chromophore C,null,702,null,null,null,"Chromophore C is a julolidinyl donor with TCF acceptor, showing absorption at 702 nm.",pubmed_9862648,,
orange_carotenoid_protein,null,570,650,null,null,orange carotenoid protein (ocp) is a chromophore with reported absorption and emission peaks; mutation of trp288 to bta alters its spectroscopic properties.,pubmed_9909426,,
tetrastyrene,null,null,null,null,null,Tetrastyrene-based materials are widely used in fluorescent probes due to their aggregation-induced emission properties.,pubmed_9953538,,
corannulene,solvent not provided,907.74,649.96,0.41,null (no wavelength specified),Bowl-shaped polyarene synthesized via FVP,pubmed_11623229,,
null,null,null,null,null,null,null,pubmed_10561185,,
Schiff base derived from pyridoxal 5′-phosphate and aniline,DMSO,null,390,null,null (UV-Vis data not explicitly provided),null,pubmed_11314395,,
Disperse Orange 11,null,null,645,null,null,"DO11 dye-doped PMMA with ZrO2 nanoparticles used for random lasing studies, showing reversible photodegradation.",arxiv_1601.02579v1,,
null,null,null,null,null,null,null,pubmed_9747612,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12911939.v2,,
null,null,null,null,null,null,null,pubmed_10634840,,
epoxypolyene (Z)-5a,CH2Cl2,null,null,null,null,Epoxide derived from nerol via mCPBA oxidation.,chemrxiv_10.26434_SLASH_chemrxiv.8267837.v3,,
null,null,null,null,null,null,null,pubmed_11365316,,
"pseudoisocyanine (1',1'-diethyl-2,2'-cyanine)",null,523,580,0.23,53500 (523 nm),PIC aggregates exhibit strong absorption cross-section and efficient energy transfer; J-bits show near unitary quantum efficiency.,pubmed_10362908,,
null,null,null,null,null,null,null,pubmed_10328350,,
null,null,null,null,null,null,null,pubmed_11528372,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v9r4k,,
null,null,null,null,null,null,null,pubmed_11223149,,
null,null,null,null,null,null,null,pubmed_10629909,,
hexaphenylsilole (HPS),THF,400,428,0.11,not specified (wavelength not provided),AIE compound with RIM mechanism.,pubmed_10099667,,
null,null,null,null,null,null,null,pubmed_10421946,,
Mes-H,acetonitrile,497,null,0.94,8.6 ± 0.2 (497 nm),Halogenation increases polymerization rates via intersystem crossing to triplet states.,chemrxiv_10.26434_SLASH_chemrxiv.12588965.v1,,
null,null,null,null,null,null,null,pubmed_10682681,,
null,null,null,null,null,null,null,pubmed_9446893,,
3catPy,acetonitrile,505,500,0.02,8x10^3 L/(mol·cm),Intramolecular charge transfer quenches fluorescence.,pubmed_9315496,,
"4-(3,4,5-trimethoxystyryl)-1-dodecylpyridin-1-ium bromide",DMSO,380,530,0.151,null,Styrylpyridinium derivative with vinyl linker and trimethoxyphenyl group.,pubmed_10535741,,
"2-dodecyl-1H-thioxantheno[2,1,9-def]isoquinoline-1,3(2H)-dione","THF, chloroform",null,517,0.91,High fluorescence quantum yield in non-polar solvents.,Benzothioxanthene imide derivative with dodecyl chain used for liquid crystal applications.,chemrxiv_10.26434_SLASH_chemrxiv-2024-w3kwn,,
null,null,null,null,null,null,null,arxiv_1311.2091v1,,
naringin,null,null,null,null,null,null,pubmed_11721769,,
null,null,null,null,null,null,null,pubmed_11608255,,
salicylaldehyde-based thiosemicarbazone (FHCT2),ethanol,340,null,null,null,Substituted fluorine affects conjugation; Emission not directly measured.,pubmed_10116548,,
"tris(2,4,6-trichlorophenyl)methyl radical",toluene,null,568,0.5,null,TTM radical with low photoluminescence quantum efficiency.,pubmed_11099960,,
ManRho-Az,"DMSO, RPMI-1640",559,603,0.62,null,The ManRho-Az probe is another rhodamine-based glycoconjugate with similar properties to ManRho-B but differing in structure and uptake efficiency.,pubmed_10593130,,
null,null,null,null,null,null,null,pubmed_10521417,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8hxsh,,
null,null,null,null,null,null,null,pubmed_9696963,,
null,null,null,null,null,null,null,arxiv_2102.05322v1,,
"1,2-BF2 derivative (B-28)",null,696.23,893.94,0.47,null,null,pubmed_11775856,,
null,null,null,null,null,null,null,pubmed_10342138,,
null,null,null,null,null,null,null,pubmed_10375525,,
Gelatin-functionalized nano probe,null,704.38,617.91,0.81,null (fluorescence),"AgNPs/PVA hydrogels were exposed to varying concentrations of Hg(ii) solution, leading to a color change from yellow to colorless",pubmed_11167620,,
pyrazolyl-phenylpyridine,methanol (MeOH),null,null,0.42,null,Cyanido-bridged diplatinum( ii) complexes: ligand and solvent effect on aggregation and luminescence,pubmed_10935663,,
3-Hydroxy-1-(2-(2-hydroxyphenyl)hydrazineylidene)naphthalen-2(1 H)-one,null,435,null,0,20000 mol⁻¹dm³cm⁻¹,"Azo dye with hydroxyphenyl substituent, used as chromophore in polyester fabrics.",pubmed_10700463,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10302615,,
"2,3-bis{[(6-ferrocenyl-6-oxohexyl)]sulfanyl}but-2-enedinitrile",dimethylsulfoxide,null,null,0.004,log ε ≈ 4.88 (Soret band),The porphyrazine derivative has low quantum yield for singlet oxygen generation; synthesis details and characterization provided.,pubmed_10343546,,
null,null,null,null,null,null,null,pubmed_9571878,,
"6,13-bis(4-methylnaphthalen-1-yl)pentacene",solvent not provided,718.82,593.39,0.63,null (no wavelength specified),Cross-stacked dimer in crystalline material,pubmed_11623229,,
null,null,null,null,null,null,null,pubmed_10915631,,
diethoxycarbonyl-BODIPY,toluene,500,510,0.94,null,These BODIPYs are heavy-atom-free photosensitizers used for photopolymerization and holographic recording with high efficiency compared to reference dyes.,chemrxiv_10.26434_SLASH_chemrxiv-2023-5rk4p,,
benz-norcy7,null,956,996,0.14,null,pH-responsive benzo-fused norcyanine derivative used as a chromophore in optical imaging studies.,chemrxiv_10.26434_SLASH_chemrxiv-2024-zc58k,,
null,null,null,null,null,null,null,pubmed_11003764,,
null,null,null,null,null,null,null,pubmed_9923757,,
porphyrin,null,null,null,null,null,Porphyrin-based chromophore used in the study.,pubmed_11835272,,
null,null,null,null,null,null,null,pubmed_10314170,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cs31x,,
estriol,null,280,null,null,null (503 nm),BODIPY-estriol was synthesized and analyzed using HPLC-PDA.,chemrxiv_10.26434_SLASH_chemrxiv-2022-jfwjs-v3,,
null,null,null,null,null,null,null,arxiv_2402.08518v1,,
RFP chromophore analogue 3c,"HPLC-grade solvents (cyclohexane, ethyl acetate, acetonitrile, methanol)",310,435,0.092,null,Photoisomerization and solvent effects discussed.,pubmed_11163268,,
gold nanoparticles,null,null,null,null,null,gold nanoparticles conjugated with gemcitabine and miR-21 inhibitors for pancreatic cancer,pubmed_10536303,,
null,null,null,null,null,null,null,pubmed_11447450,,
null,null,null,null,null,null,null,pubmed_10361470,,
calycosin-7-O-glycoside,methanol (0.1% formic acid),null,null,null,null,null,pubmed_9117700,,
null,null,null,null,null,null,null,pubmed_11843332,,
DimerD8,"methanol, buffered water (NaH2PO4/Na2HPO4)",410,615,null,null,Pyridinium-based dye with high quantum yield for fluorescence detection in biological media.,chemrxiv_10.26434_SLASH_chemrxiv.8636414.v1,,
Nilered,benzene,643,null,null,null,Chromophore Nilered in benzene; Weak interactions with solvent.,arxiv_2005.09776v1,,
null,null,null,null,null,null,null,pubmed_10785306,,
null,null,null,null,null,null,null,pubmed_11479589,,
mEos4b,pH 7.9 buffer solution,500,520,0.75,not provided,mEos4b is a well-known green-to-red photoconvertible fluorescent protein.,pubmed_10748491,,
null,null,null,null,null,null,null,pubmed_10234590,,
