iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper
null,null,null,null,null,null,null,pubmed_11867527
null,null,null,null,null,null,null,pubmed_11866185
null,null,null,null,null,null,null,pubmed_11866181
null,null,null,null,null,null,null,pubmed_11866021
"1-Benzyl-4-((1E,3Z)-5-((Z)-1-benzylquinolin-4(1H)-ylidene)-3-bromopenta-1,3-dien-1-yl)quinolin-1-ium Bromide",DMSO,801.0,null,null,153860 (801 nm),UV-vis absorption in DMSO at 801 nm with ε = 153860 L/(mol·cm),pubmed_11865986
"1-Benzyl-4-((1E,3E)-5-((Z)-1-benzylquinolin-4(1H)-ylidene)penta-1,3-dien-1-yl)quinolin-1-ium Bromide",DMSO,827.0,null,null,155680 (827 nm),UV-vis absorption in DMSO at 827 nm with ε = 155680 L/(mol·cm),pubmed_11865986
null,null,null,null,null,null,null,pubmed_11865621
null,null,null,null,null,null,null,pubmed_11864729
null,null,null,null,null,null,null,pubmed_11863150
null,null,null,null,null,null,null,pubmed_11862960
barbatic acid,null,null,null,null,null,TU3 is a potent inhibitor of colorectal cancer stem cell traits and targets ALDH1.,pubmed_11861905
e1green fluorescent protein,null,410.0,507.0,null,null,"E1GFP is a pH-sensitive variant of green fluorescent protein with a pKa close to 6.0, suitable for measuring acidic compartments.",pubmed_11861725
failed,failed,failed,failed,failed,failed,failed,pubmed_11861600
null,null,null,null,null,null,null,pubmed_11861159
null,null,null,null,null,null,null,pubmed_11860820
failed,failed,failed,failed,failed,failed,failed,pubmed_11858632
null,null,null,null,null,null,null,pubmed_11858563
null,null,null,null,null,null,null,pubmed_11858323
null,null,null,null,null,null,null,pubmed_11858137
null,null,null,null,null,null,null,pubmed_11857907
null,null,null,null,null,null,null,pubmed_11857758
null,null,null,null,null,null,null,pubmed_11857743
null,null,null,null,null,null,null,pubmed_11856814
null,null,null,null,null,null,null,pubmed_11855581
null,null,null,null,null,null,null,pubmed_11855178
null,null,null,null,null,null,null,pubmed_11854851
