iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,rand
Y-Halo,glycerol,488,671,0.053,25.8 (671 nm),,chemrxiv_10.26434_SLASH_chemrxiv-2021-ttc5g-v2,TP,"everything but abs wrong, messed up table",0.6891776207
Red-Halo2-Et,glycerol,486,520,0.086,14.9 (504 nm),,chemrxiv_10.26434_SLASH_chemrxiv-2021-ttc5g-v2,*,"Same issue, table",0.09700149
Ru(III) on CeO2,N/A,457.9,680,0.62,300 (250 nm),Ru(III) on CeO2 is a complex formed during the experiment and does not have specific solvent,chemrxiv_10.26434_SLASH_chemrxiv-2021-vr21g-v3,FP,hallucination,0.0967716472
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-3dnw8,TN,,0.4190011111
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-40c31-v3,TN,,0.8325111754
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-4brs3,TN,,0.909782364
methyl acetoacetate,null,290,null,null,null,Artificial metalloenzyme for stereoselective Michael addition,chemrxiv_10.26434_SLASH_chemrxiv-2022-5sh4j,FP,,0.2550142598
Cu7,null,null,null,null,null,This information is not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2022-78683,TN,,0.256206597
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-9vlxl-v2,FN,,0.9219066282
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-bphpr,TN,,0.7275615316
Pentacene,not_provided,365,450,0.2,not_provided,This information is for the Pentacene molecule as discussed in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2022-btsrc-v2,FP,,0.1528156414
iupac_name,6-methylisoquinoline,1010,null,null,null,no quantum yield reported,chemrxiv_10.26434_SLASH_chemrxiv-2022-cgcdk,FP,,0.1243614189
Ce-UiO-66-COOH,"Water, Acetic acid",320,null,null,null,Highly redox active Ce(IV)-MOFs,chemrxiv_10.26434_SLASH_chemrxiv-2022-cj953,FP,,0.3873539518
Covellite CuS,UV-Visible spectroscopy,532.67,null,0,null,BSA encapsulated CuS NPs were synthesized by simple thermal decomposition process,chemrxiv_10.26434_SLASH_chemrxiv-2022-m399q,FP,,0.6199768372
dinitronaphthalene,none,320,null,null,null,nitroaromatic explosive,chemrxiv_10.26434_SLASH_chemrxiv-2022-qqfbf,FP,,0.0965254451
Hantzsch ester,THF,365,410,null,null,Nitrogen fixation catalyst,chemrxiv_10.26434_SLASH_chemrxiv-2022-sn16v,FP,,0.5949875377
koneramine,CH3OH,349,675,null,null,emission spectrum not provided in paper,chemrxiv_10.26434_SLASH_chemrxiv-2022-tshz1,FP,,0.8351155627
tert-butyl crotonate,cyclohexane,295.01,null,null,null,This is a variation of the model substrate with a tert-butyl group instead of a methyl or ethyl group.,chemrxiv_10.26434_SLASH_chemrxiv-2022-w1086,FP,,0.6733200003
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-wrlxz-v4,TN,,0.0611453494
CoA,Buffer,266,null,null,null,Coenzyme A,chemrxiv_10.26434_SLASH_chemrxiv-2022-ww1zq,FP,,0.7795500585
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-x4sq9,TN,,0.655154119
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-0cdr1,TN,,0.3962457369
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-0fp1b,TN,,0.4948050876
anthracene,none,350,398,null,null,"common organic compound, aromatic hydrocarbon",chemrxiv_10.26434_SLASH_chemrxiv-2023-296ch-v2,FP,,0.0636296098
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-2k1h7,TN,,0.616242612
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-3nm93,TN,,0.2706989418
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-5cp62,TN,,0.1485670696
PDMS,none,344.42,815.23,0.48,null,"This is a general IUPAC name for polydimethylsiloxane (PDMS), a common type of silicone. The SMILES notation and InChI identifier are provided for this specific molecule.",chemrxiv_10.26434_SLASH_chemrxiv-2023-5pqcd,FP,,0.2950673432
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-6g59z,TN,,0.1204616332
"3,5-bis(trifluoromethyl)phenyl methyl thioether",THF,294.4,819.83,0.3,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2023-6r565-v2,FP,,0.0404554522
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-7nb44,TN,,0.5299965544
PhF,PhF,309.94,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9l4wm,FP,,0.2122660845
Ir(COD)2Cl2,DCM,798.28,322.6,0.01,Iodine catalyst,Cationic imine radical iodide charge transfer complex as an active species,chemrxiv_10.26434_SLASH_chemrxiv-2023-b0z73,FP,,0.8569978578
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-bw2rm,TN,,0.189418541
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-c30cg,TN,,0.7117151129
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-cggfw,TN,,0.2937547022
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-cj9fb,TN,,0.8657170674
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-csptk,TN,,0.8678783686
QT-1,DMSO,525,null,null,null,"AIEgen with donor-π-acceptor structure, exhibits excitation wavelength-dependence defying Kasha’s rule, two-color emission based on a single AIEgen for dual-organelle imaging and PDT",chemrxiv_10.26434_SLASH_chemrxiv-2023-d25gk,TP,,0.167006738
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-f50w6,TN,,0.391445606
Fe[P](NO),NMPDMS,456.04,null,null,null,Fe(II)-NO0,chemrxiv_10.26434_SLASH_chemrxiv-2023-f7qnk,FP,,0.0205647878
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-gkx45,TN,,0.4503982982
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-h9wwx,TN,,0.7640511335
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-jjn1s,TN,,0.814660775
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-jzqkf-v2,TN,,0.5471989394
furan-based copolyesters,diphenyl ether,875.42,563.22,0.42,not provided,not provided,chemrxiv_10.26434_SLASH_chemrxiv-2023-k7xf5-v5,FP,,0.2349388096
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-k96k9,TN,,0.5033462332
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-kkkpt,TN,,0.655312873
