iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,Random #
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-0jghq-v2,TN,,0.8221483072
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-3md3n-v2,TN,hah,0.5136636531
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-c6tz8-v2,TN,,0.7480097008
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-j2xkk,TN,,0.1126444049
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-xc9md,TN,,0.5718531162
"2-(4-(2,3,6,7-tetrahydro-1H,5H-benzo[ij]quinolizin-9-yl)phenyl)-4,6-dimethylpyridine-3-carboxylic acid-tetrazine (MBTPA-Tz)",DMSO/water mixture,636,null,0.01,null,"Long emission wavelength and high IAC/IBC, ideal for biological applications",chemrxiv_10.26434_SLASH_chemrxiv-2023-0tz14,TP,"wrong iupac, right results",0.4975895102
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0wrwb,TN,,0.3549143306
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2km2q-v2,TN,,0.0418166185
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2nl1z,TN,,0.3282807968
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2tfdv,TN,hah,0.8422694413
"3,4-Diarylmaleic Anhydride (TMAH)",null,480,679,null,null,"Deep red fluorescence, AIE nature",chemrxiv_10.26434_SLASH_chemrxiv-2023-31fnx,TP,"TMAH is correct, but the iupac is incorrect",0.4010156703
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3btbw,TN,,0.471623915
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-0t55g-v2,TN,,0.718132325
"2,3-Bis(4-phenylthio)phthalocyaninato silicon(IV)",DMSO,829,null,null,9.4 × 10^4 (829 nm),"Singlet oxygen generation upon NIR irradiation, used for photocatalytic proximity labeling",chemrxiv_10.26434_SLASH_chemrxiv-2023-443cj,TP,incorrect,0.0858443265
"naphtho[2,3-a]pyrene",toluene,432,null,null,null,"solution measurement, S1 energy extracted at 2.66 eV",chemrxiv_10.26434_SLASH_chemrxiv-2023-4cd6s-v2,*,this one is correct,0.1897079498
BDP-Ph•HB,acetone,509,519,0.04,89500 (509 nm),null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4nlzd,TP,perfect,0.699279238
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-51js9,FN,,0.1650927016
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-55ml6,TN,,0.7593676257
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5p9t1,TN,,0.3134699387
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-8qt7k-v3,TN,,0.4518384512
"7,7,8,8-tetracyanoquinodimethane",water and tetrahydrofuran (1:1 volume ratio),395,null,null,null,"TCNQ is hardly luminescent in its solid state, but becomes highly luminescent when encapsulated in crystalline melamine",chemrxiv_10.26434_SLASH_chemrxiv-2023-945vj,TP,"iupac doesn't include capsule, but this is fair",0.5988319665
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-99wqg,TN,,0.9027291457
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9z6k3,TN,,0.5542133634
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-b9zdf,TN,,0.898635604
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bw2rm,TN,,0.9080298226
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-chqz1,TN,,0.4610290132
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-d3ksb,TN,,0.8471783865
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dkjt6-v3,TN,good paper!,0.7917454625
"12-(9,9-dimethylacridin-10(9H)-yl)dibenzo[f,h]pyrido[2,3-b]quinoxaline",toluene,400,null,0.2,32000 (474 nm),"DMACPyBP, 3 nitrogen atoms",chemrxiv_10.26434_SLASH_chemrxiv-2023-dlzrb,TP,QY wrong,0.7717751374
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fh7nz,TN,,0.4689837229
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fvd6p,TN,v cool,0.1117948405
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gfh8l,TN,,0.3135061194
Thiochroman-4-one derivative with methoxy group at para-position to carbonyl,acetonitrile,330,null,0,null,"Dark state, no fluorescence emission",chemrxiv_10.26434_SLASH_chemrxiv-2023-hj11h,TP,,0.4942936776
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hr255,TN,,0.8733969654
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l40rw-v2,TN,,0.1833186778
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-lpl9s,TN,,0.6612992722
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nspmt,FN,,0.0674423722
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-p1pc4-v2,TN,,0.7148350431
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-phgwf,TN,,0.2052577829
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pj5cn,TN,,0.2589821003
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qhhkz,TN,,0.9035366089
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rpg9l,TN,,0.3533034283
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-stqrt,TN,,0.6884369249
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sv1wf,TN,,0.1811420314
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-t5bnk,FN,,0.5566208856
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-twxlq,TN,,0.3622837025
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v368j,TN,,0.1889854404
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-vmmht-v2,TN,,0.3490114701
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wgv41,TN,,0.7277684815
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xdp95,TN,,0.3601044363
"5,10,15,20-Tetrakis(2,6-dimethyl-4-dodecylphenyl)-25,30-dihydro-10,20-dizincporphyrinato(2-)-κN21,κN22,κN23,κN24- anthracene-9,10-diyl bis(5,10,15,20-tetrakis(2,6-dimethyl-4-dodecylphenyl)porphyrinato(2-)zinc(II))",null,null,null,null,null,Obtained via metal exchange from FB-AP2b using zinc acetate,chemrxiv_10.26434_SLASH_chemrxiv-2023-zl7ck,TP,"iupac wrong, no info in this result, but other results from paper do contain values",0.7713006504
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0754c,TN,,0.3298216388
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0h765,FN,,0.6461260433
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0rkw6,TN,,0.0295553859
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1c3xs,TN,,0.8285092106
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3rr2d,TN,,0.1677047503
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4tmq3,TN,,0.6131594428
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6f790,TN,,0.0906020915
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7f8sn,FN,,0.0697531234
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7vg64,TN,,0.8641340802
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9cqk6,TN,,0.6040132018
1-(2-Methylphenyl)-3-phenylpropan-1-one,DMSO-d6,390,null,null,null,"Photoexcitation of this compound initiates the CO2 capture process, but specific absorption/emission peaks and quantum yield are not provided for the isolated chromophore.",chemrxiv_10.26434_SLASH_chemrxiv-2024-b97rz,TP,missed info,0.3063875742
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-brsrx-v2,TN,,0.3712368589
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bzpnd-v2,TN,,0.2930537523
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cpbk5,TN,,0.8171096626
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-djt5s,TN,,0.3385130793
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dsj2g,TN,,0.1632881516
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-f5nkm,TN,,0.1286078447
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fd1g6,TN,,0.2957916837
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-h9z3q,TN,,0.3076624344
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hg770,TN,,0.0719524019
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hwsl4-v3,TN,,0.1679525524
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jb0hz,TN,,0.0566214726
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jc31g,TN,,0.0575819239
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-kpz68-v2,FN,,0.6081616522
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lmbjp,TN,,0.068039913
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lrkln,TN,,0.3546212676
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lvspd,TN,,0.3305991192
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mcjpn,TN,,0.1020265901
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mdldd,TN,,0.8196105836
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n0hbh-v2,TN,,0.2475081983
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nd6dp-v2,FN,,0.9885236409
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nmnlk,TN,,0.6097747146
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-np2hl,TN,,0.4754308276
"7,7-bis(n-propoxypropylamino)−8,8-dicyanoquinodimethane",chloroform,415,500,0.29,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-q804g,TP,QY slightly off,0.9186026221
"6,13-Diethynylpentacene with two Tr* groups",CH2Cl2,642,null,null,null,UV-vis spectra measured in CH2Cl2,chemrxiv_10.26434_SLASH_chemrxiv-2024-s649t,TP,,0.1979972676
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s7dht,TN,,0.6675165603
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sfgpc,TN,,0.8442168413
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sr5dc,TN,,0.2938775674
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-t785c,TN,,0.5108659212
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v3qww,TN,,0.3783350845
peri-anthracenethioindigo,THF/CS2 (1:1),745,null,0.94,null,"global minimum is the E-isomer, appears bright green in color",chemrxiv_10.26434_SLASH_chemrxiv-2024-v95dn,TP,,0.4340089404
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vqn0q-v3,TN,,0.3512248911
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vxdq4,TN,,0.0040569392
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vxvns,TN,,0.6281255237
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w6n9n,TN,,0.4662674384
"2-(4-Hydroxyphenyl)-2-oxoethyl-(3S)-5-((2-(3-((2R)-4-(((((((2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)-tetrahydrofuran-2-yl)-methoxy)-(hydroxy)phosphorryl)-oxy) (hydroxy) phosphoryl) oxy)-2-hydroxy-3,3-dimethylbutanamido)propanamido)ethyl)thio)-3-hydroxy-3-methyl-5-oxopentanoate",null,332,null,0.05,null,pH dependent absorption and quantum yield,chemrxiv_10.26434_SLASH_chemrxiv-2024-z0js4,TP,,0.4445105083
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-z5cw0,TN,,0.4497855767
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-z9g39-v3,TN,,0.9280931088
"4,4-difluoro-4-bora-3a,4a-diaza-s-indacene (R=BnOH)",CHCl3,522,550,0.085,7.2 × 10^4 (λ not specified),Table 1: Spectral and photophysical properties of BODIPY compounds,Pubmed_11547857,TP,,0.6516930421
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1sqhr,,,0.4734702301
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ghvxn-v2,,,0.714725367
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-69ns9,,,0.0142017582
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-cb75z,,,0.4364349176
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nf2rh-v3,,,0.8769139946
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0xbh5,,,0.7987342956
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fl4x3,,,0.5299303536
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dmfqh,,,0.9549120674
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-84vj0-v2,,,0.7922255022
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-mscd9-v2,,,0.6554359633
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-04cx2,,,0.2796519599
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jzd33-v2,,,0.9847250236
2-benzylidenebenzofuran-3(2H)-one derivative (1f),water with 10% (v/v) EtOH,488,null,null,null,Not photochromic under applied conditions,chemrxiv_10.26434_SLASH_chemrxiv-2023-5g600,,,0.2174425328
