iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes
null,null,null,null,null,null,null,pubmed_11494651,TN,
null,null,null,null,null,null,null,pubmed_11493716,TN,
null,null,null,null,null,null,null,pubmed_11492319,TN,
null,null,null,null,null,null,null,pubmed_11492290,TN,
null,null,null,null,null,null,null,pubmed_11491490,TN,
null,null,null,null,null,null,null,pubmed_11491452,TN,
null,null,null,null,null,null,null,pubmed_7616720,TN,
null,null,null,null,null,null,null,pubmed_11490620,TN,
null,null,null,null,null,null,null,arxiv_0911.5320v4,TN,
null,null,null,null,null,null,null,arxiv_2105.10885v1,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ds4gr,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nzmn8,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0rwwl,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wgk2n,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5tsv7,TN,
NDI-BP,n-hexane,280,527,0.02,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nkkmr,TP,
NDI-[7]CPP,n-hexane,320,599,0.181,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nkkmr,“,
NDI-[8]CPP,n-hexane,320,591,0.184,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nkkmr,“,
NDI-[9]CPP,n-hexane,320,578,0.334,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nkkmr,“,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l579r,TN,
null,null,null,null,null,null,null,Pubmed_11575644,TN,
phenothiazinyl-porphyrin 2,dichloromethane,425,561.6,0.074,3.7E4 (425 nm),null,Pubmed_11575637,TP,All values accurate except QY & MA
phenothiazinyl-porphyrin 2a,dichloromethane,424.5,575,0.085,4.2E4 (424 nm),null,pubmed_11575637,“,All values accurate except QY & MA
ferrocenylvinyl-phenothiazinyl-porphyrin 4,dichloromethane,420,550,0.046,4.0E4 (420 nm),null,pubmed_11575637,“,All values accurate except QY & MA
ferrocenylvinyl-phenothiazinyl-porphyrin 4a,dichloromethane,424.5,625.5,0.124,4.2E4 (424 nm),null,pubmed_11575637,“,All values accurate except QY & MA
ferrocenylvinyl-phenothiazinyl-porphyrin 4b,dichloromethane,420.5,590.6,0.604,4.2E4 (420 nm),null,pubmed_11575637,“,All values accurate except QY & MA
