iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes
null,null,null,null,null,null,null,pubmed_11571211,TN,
null,null,null,null,null,null,null,pubmed_11566259,TN,
null,null,null,null,null,null,null,pubmed_11564724,TN,
null,null,null,null,null,null,null,pubmed_11563456,TN,
null,null,null,null,null,null,null,pubmed_11563202,TN,
null,null,null,null,null,null,null,pubmed_11562817,TN,
null,null,null,null,null,null,null,pubmed_11562003,TN,
null,null,null,null,null,null,null,pubmed_11561307,TN,
null,null,null,null,null,null,null,pubmed_11561045,TN,
null,null,null,null,null,null,null,pubmed_11559061,TN,
null,null,null,null,null,null,null,pubmed_11558544,TN,
null,null,null,null,null,null,null,pubmed_11557920,TN,
null,null,null,null,null,null,null,pubmed_11555671,FN,
null,null,null,null,null,null,null,pubmed_11555655,TN,
null,null,null,null,null,null,null,pubmed_11551916,TN,
null,null,null,null,null,null,null,pubmed_11551189,TN,
null,null,null,null,null,null,null,pubmed_11549923,TN,
null,null,null,null,null,null,null,pubmed_11535004,TN,
null,null,null,null,null,null,null,pubmed_11548044,TN,
"4,4-difluoro-4-bora-3a,4a-diaza-s-indacene",null,517,529,0.14,71000,Standard BODIPY compound with R=F,pubmed_11547857,TP,Could have pulled more
null,null,null,null,null,null,null,pubmed_11547852,TN,
null,null,null,null,null,null,null,pubmed_11547820,TN,
null,null,null,null,null,null,null,pubmed_11547791,TN,
null,null,null,null,null,null,null,pubmed_11547504,TN,
null,null,null,null,null,null,null,pubmed_11547196,TN,
null,null,null,null,null,null,null,pubmed_11546782,TN,
null,null,null,null,null,null,null,pubmed_11546702,TN,
"pyridine-2,6-dicarboxylic acid",null,287,null,0.876,null,Water-soluble nanoparticles with high quantum yield,pubmed_11546352,TP,"More results available, but all pulled ones good. These were the organic molecules used to photosensitize different metals mentioned in the comments"
"2,2'-(((2,4,6-Trimethyl-1,3-phenylene)bis(methylene))bis(oxy))dibenzoic acid",null,365,null,0.33,null,Ligand used to photosensitize Tb³⁺ nanoparticles,pubmed_11546352,“,
"3,3'-((butane-1,4-diylbis(azanediyl))bis(carbonyl))bis(2-hydroxybenzoic acid)",null,337,null,0.29,null,Ligand used to photosensitize Tb³⁺ nanoparticles,pubmed_11546352,“,
"1,1,1,5,5,5-Hexafluoro-2,4-pentanedione",null,320,null,0.37,null,Photosensitizer used with Tb³⁺ nanoparticles,pubmed_11546352,“,
null,null,null,null,null,null,null,pubmed_11544725,TN,
null,null,null,null,null,null,null,pubmed_11541845,TN,
null,null,null,null,null,null,null,pubmed_11541523,TN,
null,null,null,null,null,null,null,pubmed_11540641,TN,
null,null,null,null,null,null,null,pubmed_11539334,TN,
null,null,null,null,null,null,null,pubmed_11537355,TN,
null,null,null,null,null,null,null,pubmed_11537135,TN,
null,null,null,null,null,null,null,pubmed_11537011,TN,
null,null,null,null,null,null,null,pubmed_11536310,TN,
null,null,null,null,null,null,null,pubmed_11536097,TN,
null,null,null,null,null,null,null,pubmed_11533990,TN,
null,null,null,null,null,null,null,pubmed_11532775,TN,
null,null,null,null,null,null,null,pubmed_11532646,TN,
null,null,null,null,null,null,null,pubmed_11532467,TN,
null,null,null,null,null,null,null,pubmed_11532293,TN,
null,null,null,null,null,null,null,pubmed_11530890,TN,
null,null,null,null,null,null,null,pubmed_11530492,TN,
null,null,null,null,null,null,null,pubmed_11529560,TN,
null,null,null,null,null,null,null,pubmed_11528912,TN,
null,null,null,null,null,null,null,pubmed_11528372,TN,
null,null,null,null,null,null,null,arxiv_1008.4982v2,TN,
null,null,null,null,null,null,null,arxiv_0911.5320v4,TN,
null,null,null,null,null,null,null,arxiv_2105.10885v1,TN,
"(E)-3-methyl-4-(2-(3'-(methylsulfonamido)-[1,1'-biphenyl]-4-yl)vinyl)benzoate",acetonitrile,336,null,null,null,Discovered via human-AI collaboration using ChemCrow,arxiv_2304.05376v5,TP,lol
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-prw8k,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0f2t4,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vx59v,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1t4vt,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xjg2k,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-22gt7-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bxr73-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dtq6q,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6v2jn,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ph6m0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1dr10,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mvv2b,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d35f7,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v4j8t,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w7w7l,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g4q8t,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-44kkd,TN,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-vjl0k,FN,"Some results to be had, mini didn't get them well either, also super cool paper"
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9454q,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c9np0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-db406,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w7j26,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6j5md,TN,
