mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,TFPN,Notes,rand
Zn(nbpdc)(DMF)(H2O),Zn(II),nbpdc^2-,trigonal bipyramidal,null,null,null,null,solvothermal synthesis in DMF/water,null,null,null,null,3D supramolecular architecture with hydrogen-bonded ladders and nbpdc-bridged chains,pubmed_11901891,TP,"a bit weird, but I think qualifies as a mof",0.0843584503
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11870026,TN,,0.6974911927
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11897956,TN,,0.2749477017
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901802,TN,,0.9628470193
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,Pubmed_11859037,TN,,0.0688833224
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11908468,TN,,0.0085108008
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11901825,TN,,0.1122344835
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,Pubmed_11853711,TN,,0.2693692197
Cr-MOF/MIL-101,Cr,null,null,null,null,null,null,nanoporous crystalline structure for microplastic removal,null,null,microplastic removal,null,null,Pubmed_11843541,TP,,0.7595255843
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11911921,TN,,0.5110533985
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11873908,TN,,0.7335206566
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11893831,TN,"some mofs mentioned, but none with any real data",0.3476768476
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11834969,TN,,0.5721437114
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11601354,TN,,0.6969863414
Co-MOF@rGO,Cobalt (Co),null,null,null,null,null,null,Electrode material for selective Cr(VI) removal,null,null,"Selective ion separation, heavy metal removal",null,Enhanced Cr(VI) removal efficiency through synergistic adsorption and electrocatalytic reduction,Pubmed_11902163,TP,"not much data, but some",0.5246744829
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902246,TN,,0.9146209999
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11892188,TN,,0.6231468078
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11858342,TN,,0.6375140541
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11836273,TN,,0.8621269835
TS-1,Titanium (Ti),Silica-based framework,Cubic,MFI,210.16,2.51,null,Hydrothermal synthesis,Thermally stable up to 573 K,Stable in acidic and basic environments,Epoxidation of methyl oleate,MFI,"High crystallinity, Ti incorporated into framework",Pubmed_11881798,FP,"so close, but not a MOF imo",0.6450259807
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11880314,TN,,0.2838269731
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11808662,TN,,0.9653952152
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11830568,TN,,0.7791155765
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11903057,TN,,0.2434997896
Prussian Blue,Fe,hexacyanoferrate,cubic,P4/mmm,null,null,null,precipitation method,thermally stable up to 500°C,biocompatible in physiological environments,"ROS scavenging, disease therapy",pcu,"high biocompatibility, clinically approved",Pubmed_11874232,TP,"holy crap, prussian blue is a mof!",0.3158485694
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11869569,FN,goes over synthesis of ZIP-8,0.1208106652
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11870260,TN,,0.3702001744
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11844015,FN,,0.6357155945
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11872064,TN,,0.6388287081
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,Pubmed_11901213,TN,,0.6880993939
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11908105,,,0.0767845388
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11873914,,,0.5037416425
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11833174,,,0.1436627188
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901743,,,0.5004274799
Zn(NDI)@FTO,Zn,naphthalenediimide,null,null,null,null,16,null,null,null,null,null,1D channels with Zn nodes and NDI linkers,pubmed_11843255,,,0.5752496729
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11854334,,,0.3226782191
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11851939,,,0.3318427145
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11912195,,,0.6016189153
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11903635,,,0.937062104
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901347,,,0.0757295042
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902430,,,0.5163356147
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11873818,,,0.642985038
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11867026,,,0.3152767112
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11869358,,,0.057941451
bis[4-(dimethylamino)pyridinium]tetraiodozincate(II),Zn,C7H11N2,monoclinic,C2/c,null,null,null,slow evaporation at room temperature,stable up to 473 K,null,"electrical materials, proton conduction",null,"thermal conductivity follows Arrhenius behavior, phase transition at 369 K",pubmed_11886746,,,0.926212464
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11874244,,,0.7465583852
