mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,"TP,TN,FP,FN",Human Notes
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11556720,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555890,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555319,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555219,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555212,,
MOF-CT/PVA,Zn,TCPP,tetragonal,null,null,null,null,immersed phase inversion process for hydrogel substrate and directional growth of vertically aligned MOF nanosheets on hydrogel membrane,null,superhydrophilic and robust flexibility,atmospheric water harvesting,null,"ultrafast sorption kinetics, high water uptake, solar-driven water capture-release capacity",pubmed_11555079,TP,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554926,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554826,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554787,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554574,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552691,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552517,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552469,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552083,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11551950,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11551948,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11551919,,
ZIF-8@CS,Zn,2-methylimidazole,null,null,null,null,null,wet spinning and self-assembly method,null,null,dye adsorption from water,null,"high adsorption capacity, excellent recyclability",pubmed_11551916,TP,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1802.04428v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1507.05612v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2107.13477v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2108.13590v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1401.3588v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1809.02283v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1305.3131v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1605.05989v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2410.13874v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2307.10935v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2410.20974v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1004.4320v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2004.12565v3,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_0709.3295v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1811.02771v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2410.13795v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-43vjq,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zrt0b,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lvspd,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lcdmt,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vw06p,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r1wz8,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-37bpl,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jlwh5,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rlb7j,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pdplt,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r66k2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xt0rj,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-p2zwf,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-t16qt,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7kf7h,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,SO_10.1021%2Facs.chemmater.3c00788,,
Cu-BTC,Copper,Trimesic acid,null,null,null,null,null,Aqueous synthesis with pH controlled via NaOH titration and anion exchange membrane exchange with NaCl,null,Stable in water with minimal formation of copper hydroxides under controlled synthesis,Membrane coating,null,Morphology changes based on synthesis time,SO_10.1021%2Facsami.4c02882,TP,
ZIF-8,Zinc,HMIM,null,null,null,null,null,Methanol-based synthesis with zinc nitrate and HMIM; water-based synthesis with ammonia to increase pH,null,Unstable in water due to zinc hydroxide formation; stable in methanol,Membrane coating,null,"Thin coating, cross-section thickness ~0.5 μm",SO_10.1021%2Facsami.4c02882,*,
Ce-MOF,Cerium,terephthalic acid,null,null,null,null,null,sonochemical synthesis,null,retained chemical stability and remained active upon TC degradation,"wastewater treatment, tetracycline degradation",null,null,SO_10.1038%2Fs41598-024-67676-5,TP,
Al_BTC,Al,BTC,null,null,null,null,null,"Hydrothermal synthesis with H2O/EtOH ratio 3.4, CTAB/Al ratio 0.6, temperature 120°C, time 12h, pH 2.1",null,null,null,null,null,SO_10.1039%2Fc4ce02324b,TP,
