mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,"TP,TN,FP,FN",Human Notes
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11556720,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555890,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555319,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555219,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11555212,,
MOF-CT/PVA,Zn,TCPP,tetragonal,null,null,null,null,Vertically aligned growth of MOF nanosheets on CT/PVA hydrogel membrane via solvothermal method at 80°C,null,null,Ultrafast atmospheric water harvesting,null,"Superhydrophilicity, ultrafast water vapor adsorption",pubmed_11555079,TP,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554926,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554826,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554787,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11554574,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552691,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552517,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552469,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552434,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11552083,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11551950,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11551948,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11551919,,
ZIF-8,Zn^2+,2-methylimidazole,cubic,I-43m,null,null,null,In situ growth of ZIF-8 on chitosan fibers by self-assembly in aqueous solution of Zn^2+ and 2-methylimidazole,null,null,Adsorption of dyes from water; wastewater treatment,SOD,"Adsorption capacities: 593 mg/g for anionic dye Congo Red (CR), 526 mg/g for cationic dye Malachite Green (MG); shows excellent recyclability with removal efficiency above 90% after five cycles",pubmed_11551916,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1802.04428v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1507.05612v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2107.13477v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2108.13590v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1401.3588v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1809.02283v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1305.3131v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1605.05989v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2410.13874v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2307.10935v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2410.20974v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1004.4320v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2004.12565v3,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_0709.3295v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1811.02771v2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2410.13795v1,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-43vjq,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zrt0b,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lvspd,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lcdmt,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vw06p,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r1wz8,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-37bpl,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jlwh5,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rlb7j,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r66k2,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xt0rj,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-p2zwf,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-t16qt,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7kf7h,,
Cu-BTC,Cu,"1,3,5-benzene tricarboxylate (BTC)",null,null,null,null,null,Localized synthesis of Cu-BTC on anion exchange membrane using aqueous solutions of Cu(NO₃)₂ and Na-BTC at pH 10,null,null,null,null,Film thickness approximately 20 micrometers; morphology evolved from needle-like to plate-like over time,SO_10.1021%2Facsami.4c02882,,
ZIF-8,Zn,2-methylimidazole (HMIM),null,null,null,null,null,Localized synthesis of ZIF-8 on anion exchange membrane using methanolic solutions of Zn(NO₃)₂ and HMIM,null,null,null,null,Coating thickness approximately 0.5 micrometers,SO_10.1021%2Facsami.4c02882,,
MIL-96(Al),Aluminum,BTC,Hexagonal,P63/mmc,null,null,null,"Hydrothermal synthesis at pH 2.5, 120°C, with CTAB surfactant in water media",null,null,null,null,null,SO_10.1039%2Fc4ce02324b,,
Cu-MOF_Q1,Cu,pyridine-4-carboxylic acid,null,null,1750,0.8,null,Hydrothermal synthesis at 180 °C for 12 hours,null,null,Anodic material for battery-supercapacitor hybrid devices,null,"Bulk morphology with rough, coarse surfaces",SO_10.1039%2Fd4ra05790b,,
Co-TPA,Co,Terephthalic acid,Orthorhombic,null,null,null,null,"Mix Co(NO3)2·6H2O and TPA in DMF and water, sonicate, reflux at 100°C for 48 h under nitrogen, wash with methanol, dry at 80°C",Stable up to 473 °C,null,Antimicrobial agent,null,Demonstrated antimicrobial activity against bacteria and yeast,SO_10.1021%2Facsomega.3c09169,,
Cu-BDC⊃HMTA,Cu,"1,4-benzenedicarboxylate (BDC), hexamethylenetetramine (HMTA)",null,null,590,null,7.1,"Solvothermal reaction of Cu(NO3)2·6H2O, terephthalic acid, and HMTA in DMF at 110 °C for 24 h",Stable up to 550 °C,null,Carbon dioxide capture,null,Isosteric heat of CO2 adsorption: 29.8 kJ/mol,SO_10.3390%2Fnano9081063,,
null,null,null,null,null,null,null,null,null,null,null,null,null,null,SO_10.3390%2Fmolecules25040960,,
Fe-MOF,Fe2+,2-aminoterephthalic acid,null,null,null,null,null,Solvent-based synthesis using BDC-NH2 and FeAc2 in DMF at 65°C,Stable up to 200°C,null,"Drug delivery system, sustained release, antitumor therapy",null,"High drug loading capacity (10%), significant slow-release properties, good biocompatibility",SO_10.3389%2Ffbioe.2023.1197484,,
