mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,TP/TN/FP/FN,Notes,rand
CIHP-SPAN,CNT,SPAN,cubic,P1 2/c,3.83,0.03,69.28,phase separation method,>450 °C,stable in acidic and basic environments,high-rate lithium-sulfur batteries,pcu,"flexible, high sulfur loading, fast electron/ion pathways",pubmed_11242976,FP,,0.4904765431
Co3O4 (111),Co,H2O,orthorhombic,Pnma,null,null,null,"Born-Oppenheimer molecular dynamics at Γ point using CP2K/Quickstep package with NVT conditions, Nosé-Hoover thermostat, time step of 0.5 fs for a total simulation time of 20 ps",up to 473 K,"stability in different chemical environments (e.g., acidic, basic, water)",activation of 2-propanol decomposition compared to the (001) and (101) facets,"RCSR symbols like pcu, dia, tbo",no additional properties found,chemrxiv_10.26434_SLASH_chemrxiv-2024-c94bp,FP,,0.3647328988
Cur/MOF@DS,Manganese (Mn),Dextran Sulfate (DS),Cubic,P 2 1/c,3600.61,1.7,105.12,"Hydrothermal method synthesis, Cur loading, DS surface modification for MRI properties",Up to 400°C,"Stable in acidic and basic environments, soluble in water but not in organic solvents","Lipid regulation, enhanced MRI capability for early diagnosis of AS",pcu,"Targeted delivery to macrophages or foam cells via SR-A, ROS scavenging, inhibiting apoptosis, promoting autophagy, regulating polarization, reducing lipid influx and enhancing efflux",Pubmed_11234396,TP,,0.4379994795
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_2112.05130v1,TN,,0.6525518561
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-smwj6,TN,,0.7170126087
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-tgk5g-v3,TN,,0.8423599659
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-zgn9m,TN,,0.9453784584
mof_name,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4nfzt,TN,,0.6664165487
mof_name,Fe,organic_linker,cubic,C2/c,5738.94,null,16.07,solvothermal method at room temperature and hydrothermally in an acidic medium,500-600 °C,null,Hydrogenation of CO_2 to produce olefins with high selectivity,pcu,Particle size affects the re-adsorption of olefin molecules leading to higher selectivity.,Pubmed_11056685,TP,,0.2348982103
molecules-29-02510,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11174038,TN,,0.9372475245
molecules-29-02802,null,null,cubic,P 43/mmc,15.67,null,null,physical adhesion,unknown thermal stability range,no information found regarding chemical_stability,no applications listed for this MOF,pcu (porous coordination polymer),topology_code_not_provided,Pubmed_11206577,TP,,0.2208983102
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2209.14828v1,TN,,0.9318439953
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2403.12915v1,TN,,0.1486442506
