iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,f1,Notes,rand
null,null,null,null,null,null,null,pubmed_11774274,TN,,0.0922288483
null,null,null,null,null,null,null,Pubmed_11382547,TN,,0.3464309741
null,null,null,null,null,null,null,pubmed_11910078,FN,a few pka values tucked in there,0.2295057024
null,null,null,null,null,null,null,Pubmed_11130960,TN,,0.9740555633
null,null,null,null,null,null,null,Pubmed_11530759,TN,,0.0108907451
another_string,null,null,null,null,null,The paper does not report any pKa values.,Pubmed_11912343,TN,,0.5146883153
null,null,null,null,null,null,null,Pubmed_11641239,TN,,0.782269709
abscisic acid,1,null,310.15,terpenoid,null,nanomolar concentrations of ABA,Pubmed_11723322,FP,"true pka = 4.8, it confused with concentration",0.4203339436
null,null,null,null,null,null,null,pubmed_11109210,TN,,0.5695509135
null,null,null,null,null,null,null,pubmed_11848788,TN,,0.1939738144
null,null,null,null,null,null,null,pubmed_11912500,TN,,0.4556034436
null,null,null,null,null,null,null,Pubmed_11912126,TN,,0.2589169522
null,null,null,null,null,null,null,Pubmed_11284683,TN,,0.0908207032
null,null,null,null,null,null,null,pubmed_11913050,TN,,0.4756869422
null,null,null,null,null,null,null,Pubmed_11653475,TN,,0.7547406487
null,null,null,null,null,null,null,Pubmed_11269190,TN,,0.1052165928
null,null,null,null,null,null,null,Pubmed_11276793,TN,,0.6853496791
null,null,null,null,null,null,null,Pubmed_11700881,TN,"a pka range Is given for nanoparticles, but no good structure",0.2575819986
null,null,null,null,null,null,null,pubmed_11112753,TN,"only ranges given, no good structures",0.5770255593
null,null,null,null,null,null,null,pubmed_11146614,TN,"ranges given, but only for classes of biopolymers",0.798629381
null,null,null,null,null,null,null,pubmed_11730217,TN,"calculated values for residues in proteins, does not meet criteria",0.5745246983
ferrocyanide,null,null,298,cyanide anion,0.05,Formation kinetics and pH dependence study,pubmed_10875668,TP,"there was a pka, this is not it",0.5347414769
null,null,null,null,null,null,null,pubmed_10832043,TN,,0.696682143
ochratoxin A,7.1,null,null,amide,null,"Analysis of Ochratoxin A occurrence, structure, and detection methods",Pubmed_11049263,TP,"wrong name grabbed, but ok",0.6551540731
salicylic acid,2.97,null,298.15,hydroxyl radical (•OH),null,SA dosimetry was used to measure hydroxyl radicals formed during HC treatment.,Pubmed_11910674,TP,nice,0.5363602864
post-stroke depression,null,null,null,null,null,null,Pubmed_11911333,TN,,0.044963201
ALS04,null,null,310.15,cyanine dye,null,pKa calculated using MarvinSketch 23.11,Pubmed_11912748,TN,"treating as TN because it would not impact final dataset, arguably FP",0.8998743743
null,null,null,null,null,null,null,pubmed_11913364,TN,,0.8974558632
Drosophila melanogaster,null,Dulbecco's PBS,302.15,Microtubules,null,Neuronal ageing is promoted by the decay of the microtubule cytoskeleton.,pubmed_10962844,TN,"treating as TN because it would not impact final dataset, arguably FP",0.1227439349
failed,failed,failed,failed,failed,failed,failed,Pubmed_11911047,TN,,0.473516027
null,null,null,null,null,null,null,pubmed_11866920,,,0.1195509727
null,null,null,null,null,null,null,pubmed_11800394,,,0.2685375623
ketamine HCl,7.5,"methanol,ethanol,propylene glycol (PG),dimethyl sulfoxide (DMSO),N-methyl-2-pyrrolidone (NMP)",298.15,"amine, ketone",null,Improving solubility for intranasal delivery and method validation using UV-Vis spectroscopy,pubmed_11677332,,,0.8484548803
null,null,null,null,null,null,null,pubmed_11207994,,,0.0280250069
null,null,null,null,null,null,null,pubmed_11673088,,,0.5671531258
null,null,null,null,null,null,null,pubmed_11759277,,,0.3770963394
null,null,null,null,null,null,null,pubmed_11865470,,,0.6884809753
Tristerix tetrandus,null,water,293.15,phenolic,null,No pKa values reported in the paper.,pubmed_11175056,,,0.1427337797
poly(styrene- block-2-vinylpyridine) (PS- b-P2VP),null,chloroform aqueous emulsion,298.15,pyridine,null,pH measurements of particle suspensions using Ohaus ST3100 pH Bench; DMF-d7 used as NMR solvent; pH measured before surfactant removal,pubmed_11907369,,,0.2301416781
null,null,null,null,null,null,null,pubmed_11256502,,,0.9508356808
null,null,null,null,null,null,null,pubmed_11522568,,,0.3058526271
null,null,null,null,null,null,null,pubmed_11894376,,,0.6089963571
null,null,null,null,null,null,null,pubmed_11095508,,,0.8840993368
null,null,null,null,null,null,null,pubmed_11188261,,,0.3451429685
null,null,null,null,null,null,null,pubmed_11191125,,,0.0876753144
null,null,null,null,null,null,null,pubmed_11901818,,,0.7997811639
null,null,null,null,null,null,null,pubmed_10990164,,,0.3381649985
acetaminophen,null,50% ethanol,298.15,aromatic ring with amino and hydroxyl groups,null,"acetaminophen (15 μM), ESI-MS with dielectric plates",pubmed_10821223,,,0.6273927875
null,null,null,null,null,null,null,pubmed_10970885,,,0.5007363278
null,null,null,null,null,null,null,pubmed_11729561,,,0.8995511427
null,null,null,null,null,null,null,pubmed_11486488,,,0.1585148955
soy protein isolate,null,null,null,null,null,No relevant information provided about pKa measurements or functional groups.,pubmed_10818401,,,0.9622049266
null,null,null,null,null,null,null,pubmed_11674860,,,0.0110692747
null,null,null,null,null,null,null,pubmed_10811599,,,0.1815721004
Hydroxyzine Hydrochloride,7.45,"chloroform-ammonium acetate buffer (9.5:0.5, v/v)",null,"tertiary amine, primary amine",null,The method was validated according to ICH standards and used for pharmaceutical formulations without excipients.,pubmed_11357029,,,0.503183251
null,null,null,null,null,null,null,pubmed_11340407,,,0.9255302621
null,null,null,null,null,null,null,pubmed_11013934,,,0.58880792
±)-2-(4-isobutylphenyl)propanoic acid,4.91,water,298.15,carboxylic acid,null,pH adjustments (acid and basic conditions) affected ibuprofen's form during adsorption tests.,pubmed_11124334,,,0.2156925679
null,null,null,null,null,null,null,pubmed_11748760,,,0.2529871536
null,null,null,null,null,null,null,pubmed_11349218,,,0.2328590783
null,null,null,null,null,null,null,pubmed_11780148,,,0.7693428071
null,null,null,null,null,null,null,pubmed_11569148,,,0.339368864
null,null,null,null,null,null,null,pubmed_11071394,,,0.3609911094
null,null,null,null,null,null,null,pubmed_11679721,,,0.1057204138
Bos taurus,null,null,null,null,null,No relevant information provided in the paper.,pubmed_11855754,,,0.8212841987
null,null,null,null,null,null,null,pubmed_11024051,,,0.879128129
null,null,null,null,null,null,null,pubmed_11008096,,,0.1428532731
null,null,null,null,null,null,null,pubmed_11619732,,,0.5409788189
null,null,null,null,null,null,null,pubmed_10932171,,,0.5685985016
aminooxazole ester,39.77,10 mM NaCl,265.15,"ester, aminooxazole",0.5,Significant cryoprotective effect observed in RBCs; highly active inhibitor with % MGS < 20.,pubmed_11402961,,,0.4540504133
null,null,null,null,null,null,null,pubmed_11821252,,,0.0677679647
null,null,null,null,null,null,null,pubmed_11295998,,,0.8333828268
null,null,null,null,null,null,null,pubmed_10811841,,,0.1451616269
null,null,null,null,null,null,null,pubmed_11539058,,,0.1793880647
null,null,null,null,null,null,null,pubmed_11099166,,,0.7947331294
5-(trifluoromethyl)-β-D-2′-deoxyuridine,null,null,null,fluorinated nucleoside analog,null,Trifluridine (TFT),pubmed_11124531,,,0.9725851966
null,null,null,null,null,null,null,pubmed_10955718,,,0.8640063652
null,null,null,null,null,null,null,pubmed_11677705,,,0.948475447
null,null,null,null,null,null,null,pubmed_11005678,,,0.0215556379
