iupac_name,smiles,inchi,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-w9jb5,FN,"tons of pKa data, model probably messed up formatting when trying to output",,,,,
,<no value>,<no value>,null,pKa,<functional_group>,<solvent>,null,null,<method>,null,<additional_info>,chemrxiv_10.26434_SLASH_chemrxiv-2024-nbc5g-v2,FN,one pKa mentioned in paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.10002032.v1,FN,found one pKa in paper,,,,,
,<no value>,<no value>,null,sorption,soil,null,null,null,null,null,single-point desorption isotherm,chemrxiv_10.26434_SLASH_chemrxiv.11859885.v2,FN,found two pKas in paper,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.12895997.v1,FN,one pKa mentioned in paper,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.13643570.v1,FN,multiple pKas mentioned in paper,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.14406632.v1,FN,multiple pKas mentioned in paper,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.9788276.v1,FN,multiple pKas mentioned in paper,,,,,
tetracycline,C16H16N2O5,"InChI=1S/C16H16N2O5/c1-7-9(8)10-13(14,15)16(17)18(19)20(21)22(23)24(25)26(27)28(29)30/h1-10H,11-12H2,13H3,14-15H4,16H5,17H6,18H7,19H8,20H9,21H10,22H11,23H12,24H13,25H14,26H15,27H16,28H17,29H18,30H19",null,8.92,acid,hydroxyl,null,null,null,null,null,Pubmed_10632962,FN,"missed info, this is incorrect",,,,,
null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10733925,FN,"tons of pKa data, model missed all of it",,,,,
,<no value>,<no value>,null,null,null,null,null,null,not applicable,null,null,Pubmed_10762997,FN,"pKa data present, model missed",,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,Pubmed_10876964,FN,missed info,,,,,
,Acidianus,null,null,null,null,null,null,null,null,null,no information found,pubmed_10880624,FN,missed info,,,,,FN = 17
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no value>,Pubmed_10943001,FN,missed info,,,,,FP = 23
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11192187,FN,missed info,,,,,TN = 45
,<no value>,<no value>,null,acid,urate crystal,null,null,null,intrarenal injection of MSU crystals,null,"Intrarenal administration of MSU crystals appears to have no significant effect on physical appearance of the animals (rats), whole body weight and outward appearance and mass of kidney.",Pubmed_11246891,FN,missed info,,,,,TP = 15
,<no value>,<no value>,null,null,null,<no value>,298.15,null,<no value>,null,null,Pubmed_11280172,FN,missed info,,,,,
,<no value>,<no value>,9.35,base,amide,null,null,null,potential titration method,null,The pKa of this compound was determined through a potential titration method in the study.,chemrxiv_10.26434_SLASH_chemrxiv-2022-k3rc1,FP,,,,,,
,null,null,25.24,base,N-alkylamine,null,807.62,1M TBSOTf,blue LED,4.76,Example of pKa measurement,chemrxiv_10.26434_SLASH_chemrxiv-2024-ng6c0,FP,"no compound identified, incorrect data",,,,,
,"4,4'-bipyridine/5-sulfosalicylic acid crystal",CID:1234567890,51.81,base,N1,null,null,null,DFT with BP86 functional,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x4x93,FP,no pKa data in paper,,,,,
,<no value>,<no value>,10.339,acid,hydroxyl group,<no value>,null,null,experimental method not specified,null,null,Pubmed_10298273,FP,10.3990 is part of the doi...,,,,,
,Favipiravir,"InChI=1S/C9H8N4O3/c1-2(5)6-7(9)10(4)3(8)11//h3,4H,1-2,8H2,(H,5),9H,(H,10)",4.8,acid,carboxylic acid,BrittonRobinson (BR)- buffer at pH 10 in the presence of anionic surfactant SDS,373.15,null,"Cyclic voltammetry, Square-wave adsorptive stripping voltammtery (SW-AdSV)",0.89,,pubmed_10503967,FP,"does mention pKa, but gives no numbers",,,,,
,C1CC(=O)NC(N)=O,"InChI=1S/C8H9NO2/c1-4-7(5)6-3-8(9)2/h1,2,4H3,5,6H2,7H,(H,8,9)",30,acid,carboxylic acid,DOPC,298.15,null,in vitro GUV reconstitution system,null,The paper does not provide a specific method for determining pKa values.,Pubmed_10614929,FP,"wrong, no pKas reported",,,,,
,Alizarin Orange,"InChI=1S/C8H6O4/c9-2(3)7-5(8)6-4-1(9)10/h1-5H,6H,8H,9H2,7H3",3.8,dye mixture,Alizarin Orange dyes,null,null,epoxy activation of agarose membrane,null,null,null,pubmed_10638014,FP,no pka data in paper,,,,,
,C6H3O2(OH)5,"InChI=1S/C6H3O2(OH)5/c7-4-1-6(8)5-2/h1-6H,7H2,8H3",2.5,acid,quercetin,null,null,null,null,null,null,Pubmed_10670185,FP,no pka data in paper,,,,,
CaAl12O19,[O-]#[Ca]([O-])=O.[O-][:Al]([O-])=[Al]([O-])=O.[O-][:Al]([O-])=[Al]([O-])=O.[O-][:Al]([O-])=[Al]([O-])=O.[O-][:Al]([O-])=[Al]([O-])=O.[O-][:Al]([O-])=[Al]([O-])=O.[O-][:Al]([O-])=[Al]([O-])=O,InChI=1S/CaAl12O19/c1-2-5(6)7-8-9(10)11-12-13-14-15-16-17-18-19/hO1H0O2O3O4O5O6O7O8O9O10O11O12O13O14O15O16O17O18O19,22,acid,aluminate,null,null,null,null,null,null,Pubmed_10685428,FP,no pKa data in paper,,,,,
,<no value>,<no value>,null,sound,<no value>,null,290.15,null,closed-loop system,null,<no value>,pubmed_10690295,FP,no pka data in paper,,,,,
,C16H34O2,"InChI=1S/C16H34O2/c1-17(20)18(19)15-13-11-6-3-1-5(14)12(16)10(19)18/h1-17H,6-13H2,1-5H2",8.3,acid,carboxylic acid,DMSO,298.15,0.1M NaCl,Titration,null,This compound is a carboxylic acid and was measured in DMSO using the titration method with an ionic strength of 0.1M NaCl.,Pubmed_10761689,FP,PKA refers to protein kinase A in this paper,,,,,
,CO2,InChI=1S/CO2/h1/c1-2/h2H,9.3,acid,carboxylic acid,CO-purged 0.5 M CsHCO3,298.15,null,VSFG spectroscopy,null,The nature of the electrolyte cation has a significant impact on electrochemical reduction of CO2,Pubmed_10882457,FP,"info present, but not numerical data on pKa",,,,,
,N-(2-Aminophenyl)thiourea,"InChI=1S/C6H9NS/c7-4-5(8)=6(3)1/h4-6H,1H2,(H,7)/t3-,7+/m0/s1",2,4.14 (Brønsted base),null,water,298.15,0.1M NaCl,"UV-Vis Spectroscopy, pH measurement",null,The reaction of N-(2-aminophenyl)thiourea with benzaldehyde in an aqueous medium under ultrasound irradiation to form 2-phenylbenzo[d]thiazole. The mechanism involves the thiourea acting as both a hydrogen bond donor and Brønsted base.,pubmed_10882698,FP,"info present, but not numerical data on pKa",,,,,
,C6H9NO,"InChI=1S/C6H9NO/c7-3-5(8)4-2/h7H,8H,9H,10H,1H2,(H,11)/t1-,2+,3+,4+,5+,6+",34.34,acid,carboxylic acid,water,298.15,null,titration,0.68,The pKa of the carboxylic acid functional group in C6H9NO was measured using titration in water at 25 °C with an uncertainty of ±0.68.,Pubmed_10967614,FP,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,46.88,acid,carboxylic acid,water,298.15,null,pH-metric titration,3,The pKa of the carboxylic acid functional group in Candida albicans.,Pubmed_10970858,FP,PKA refers to protein kinase A in this paper,,,,,
,[O]c1ccn(C)cccc1,null,46.78,base,carbonyl group,water',298.15,0',UV-Vis spectroscopy (pH adjustment method)',3.89,The pKa value was determined using UV-Vis spectroscopy with a pH range between 2 and 12 by titrating the solution with either sodium hydroxide or hydrochloric acid.',Pubmed_10979483,FP,"info present, but not numerical data on pKa",,,,,
