iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,"TP, TN, FP, FN",Human Notes,,,,,
Pseudo-bridging silanol sites on Si/γ-Al2O3 surface,0.3,Si/γ-Al2O3 surface sites,0,Brønsted acid,null,Estimated from δiso(109Ag) = 549 ppm using linear correlation,chemrxiv_10.26434_SLASH_chemrxiv-2023-cxlm1-v3,*,Off by factor of 10 ^^,,,,,
Hydroxyl groups on SiO2 surface,0.7,SiO2 surface sites,0,Brønsted acid,null,Estimated from δiso(109Ag) = 569 ppm using linear correlation,chemrxiv_10.26434_SLASH_chemrxiv-2023-cxlm1-v3,*,^^,,,,,
5-isopropyl tetrazole,4.19,null,null,null,null,"pKa value for comparison with 5-phenyl tetrazole, no experimental conditions specified",chemrxiv_10.26434_SLASH_chemrxiv-2024-29p7m,*,^^,,,,,FN = 8
Acetic acid,4.58,ddH2O (DSS reference),310,Carboxyl,null,"NMR pH indicator, 'mixed' pKa value",chemrxiv_10.26434_SLASH_chemrxiv-2024-dxxmg,*,^^,,,,,FP = 12
null,null,null,null,null,null,null,Pubmed_11351495,FN,,,,,,TN = 42
null,null,null,null,null,null,null,pubmed_11231344,FN,,,,,,TP = 34
null,null,null,null,null,null,null,Pubmed_10519957,FN,,,,,,
null,null,null,null,null,null,null,Pubmed_11097163,FN,"tough one, fair",,,,,
null,null,null,null,null,null,null,Pubmed_11125162,FN,,,,,,
null,null,null,null,null,null,null,Pubmed_10674898,FN,,,,,,
null,null,null,null,null,null,null,Pubmed_10418366,FN,"tough one, fair",,,,,
null,null,null,null,null,null,null,arxiv_1712.09553v1,FN,,,,,,
"2,2,6,6-Tetramethylpiperidin-1-oxyl",0.63,Water,298.15,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5z186-v2,FP,"conceptually understandable, the reported value is the energy difference in eV between a version of the molecule with and without a proton, but I believe it refers more to the reorganization energy directly",,,,,
1-Ce,2.91,THF,298.15,null,0.63,Electrochemically irreversible,chemrxiv_10.26434_SLASH_chemrxiv-2023-hc0g0,FP,"electrochemical data, no pkas reported",,,,,
1-U,3.85,THF (theoretical),298.15,null,null,"Calculated potential, not observed electrochemically",chemrxiv_10.26434_SLASH_chemrxiv-2023-hc0g0,FP,^^,,,,,
2-Hydroxybenzoic acid,4.58,Water,298.15,Carboxyl,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hfcm5-v2,FP,confused loss values with pka values,,,,,
"4-chloro-2,2'-bipyridyl",1.19,acetonitrile,298.15,null,null,"quasi-reversible reduction event, ΔEp = ca. 245 mV",chemrxiv_10.26434_SLASH_chemrxiv-2023-njjmp-v2,FP,"electrochemical data, no pkas reported",,,,,
"1,8-dihydroxy-2,7-dicarboxymethyl-9,10-anthraquinone",0.09,water (pH 14),298.15,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1td17,FP,confused other values with pka,,,,,
IR-26,0.0301,DCE,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m3v4m,FP,,,,,,
IR-1061,0.193,DCM,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m3v4m,FP,,,,,,
TPE-BBT,4.17,THF,298.15,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m3v4m,FP,,,,,,
"2,6-diphenylpyridine",3,Trifluorotoluene (TFT),298.15,null,1.8,Nanopipette voltammetry measurement with both DPP and DPPH initially present in the organic electrolyte,chemrxiv_10.26434_SLASH_chemrxiv-2024-sxzbn,FP,,,,,,
"- ""Simple Diprotic Acid""",4.5,Water,298.15,Carboxyl,0.1,Equilibrium measurement,Pubmed_10450860,FP,,,,,,
NHC^Au(I)^L (Entry 2),1.2,null,null,NHC-Au(I),null,Toxicity on MDA-MB-231: 1 µM,Pubmed_10526406,FP,"IC50, not pka",,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6h5m8,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-czpvq,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rt7bs-v2,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4csd3,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10480487,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l0vll,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dkl3b,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10711400,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1qxx4,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10761179,TN,,,,,,
