iupac_name,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,Pubmed_11265205,FN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11243464,FN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-tmtsd,FN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-6c9kc,FN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-jsfbr,FN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11250799,FN,,,FN = 10
null,null,null,null,null,null,null,null,null,null,Pubmed_11249067,FN,,,FP = 15
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lkl5t-v3,FN,,,TN = 15
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pvxq4,FN,,,TP = 10
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r9qks,FN,,,
another_key_value_pair_here,45.78,base_or_acid_type_specified_by_the_author_of_paper,functional_group_name_provided_for_context_only,water_as_solvent_used_during_measurement,309,null,method_description_from_paper_documented_here,2.1,paper_specific_additional_notes,chemrxiv_10.26434_SLASH_chemrxiv.13603325.v2,FP,,,
praziquantel,94.93,acid,carboxylic acid,water,296.15,null,null,null,no information found,pubmed_10821272,FP,,,
ARS-853,7.5,non-covalent binding,hydrophobic interaction,water,300,null,null,null,The dissociation energy ΔG°diss = 7.5 ± 0.1 kcal/mol corresponds to the Kdiss= 3.4∙10-6 M at 300 K.,chemrxiv_10.26434_SLASH_chemrxiv.9757583.v1,FP,,,
CBB 8,59.47,acid,carboxylate ion,acetonitrile,360,null,,null,,chemrxiv_10.26434_SLASH_chemrxiv.11472639.v2,FP,,,
Kinase conformation,72.95,acid,full-length protein kinase,"DMEM, 10% FBS",629.56,null,cell-based reporter assay,3.31,tracking full-length kinases in intact cells using KinCon reporters,Pubmed_11293870,FP,,,
piceatannol,38.09,acid,null,null,273.15,null,in vitro and human body,0.46,"PIC induces SIRT1 expression, promotes mitochondrial biosynthesis and fat metabolism.",Pubmed_11122325,FP,,,
KFGGY,0.33,subnanomolar,N-terminal dipeptide site,neutral aqueous buffer,293.15,null,"isothermal titration calorimetry,NMR spectroscopy,X-ray crystallography",null,high-resolution crystal structures of the Q8·Tyr-Leu-Gly-Gly-Gly and Q8·Leu-Tyr-Gly-Gly-Gly complexes,Pubmed_10988627,FP,,,
S-PO4H-[9]CPP,60.91,null,null,null,871.04,null,null,2.88,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-srqv5,FP,,,
eicosapentaenoic acid,94.98,null,null,null,607.83,null,null,2.36,null,Pubmed_10456008,FP,,,
compound_name_1_here,1,pka_type_1,functional_group_1,solvent_1,293.151,ionic_strength_or_other_information_1,methane_method_or_other_1,1,additional_info_about_measurements_of_compound_1,chemrxiv_10.26434_SLASH_chemrxiv-2023-20v8p-v2,FP,,,
iupac_name_1,39.45,base,phenol,ethanol,316.78,null,UV-Vis spectrophotometry,0.2,The pKa value was measured using UV-Vis spectrophotometry in ethanol at 316 K.,Pubmed_10708505,FP,,,
