iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper
null,null,null,null,null,null,null,null,pubmed_11912777
4-(9-anthryl)phenyl o-carborane,chloroform,408.0,592.0,0.7,null,7.7,crystal measurement,pubmed_11912618
4-(9-anthryl)-3-bromo-phenyl o-carborane,chloroform,419.0,619.0,0.26,null,2.9,crystal measurement,pubmed_11912618
"4-(9-anthryl)-3,5-dibromo-phenyl o-carborane",chloroform,422.0,625.0,0.26,null,3.2,crystal measurement,pubmed_11912618
4-(9-anthryl)-3-thienyl-phenyl o-carborane,chloroform,432.0,637.0,0.6,null,7.5,crystal measurement,pubmed_11912618
"4-(9-anthryl)-3,5-dithienyl-phenyl o-carborane",chloroform,434.0,671.0,0.22,null,3.5,crystal measurement,pubmed_11912618
"fluorene-co-C,C'-diaryl-o-carborane",chloroform,491.0,700.0,0.06,null,1.0,film measurement,pubmed_11912618
"bithiophene-co-C,C'-diaryl-o-carborane",chloroform,494.0,729.0,0.02,null,null,film measurement,pubmed_11912618
C2B–CN,null,null,635.0,null,null,null,Trimer defect with lower HR factor and better photoluminescence properties,pubmed_11912567
example_1,example_2,715.63,456.05,0.38,null,88801.21,null,pubmed_11912505
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912473
1-amino-oxy-3-aminopropane,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
α-difluoromethylornithine,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
3-[(aminooxy)methyl]piperidine,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
10- R,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
10- S,null,null,null,null,null,null,The paper focuses on enzyme activity and structure-activity relationships rather than photophysical properties.,pubmed_11912471
null,null,null,null,null,null,null,null,pubmed_11912350
null,null,null,null,null,null,null,null,pubmed_11912327
