iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11869165
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11177268
null,null,null,null,null,null,null,null,pubmed_11082909
Pt(PhPDPPh)(BN),toluene,502.0,700.0,0.3,13 M⁻¹cm⁻¹ (502 nm),95668.07,"A platinum(II) pyridinedipyrrolide complex with a terminal benzonitrile ligand, exhibiting green emission and moderate quantum yield.",pubmed_10921383
Pt(PhPDPPh)(Py),toluene,489.0,503.0,0.45,12 M⁻¹cm⁻¹ (489 nm),92266.52,"A platinum(II) pyridinedipyrrolide complex with a terminal pyridine ligand, showing dual emission and moderate quantum yield.",pubmed_10921383
Pt(PhPDPPh)(BuIm),toluene,483.0,497.0,0.28,10 M⁻¹cm⁻¹ (483 nm),10815.49,"A platinum(II) pyridinedipyrrolide complex with a terminal 1-butylimidazole ligand, featuring dual emission and moderate quantum yield.",pubmed_10921383
Pt(PhPDPPh)(CO),toluene,525.0,551.0,0.03,14 M⁻¹cm⁻¹ (525 nm),36233.89,"A platinum(II) pyridinedipyrrolide complex with a terminal carbon monoxide ligand, showing weak emission and low quantum yield.",pubmed_10921383
Pt(MesPDPC6F5)(BN),toluene,492.0,514.0,0.44,10 M⁻¹cm⁻¹ (492 nm),5960.2,"A platinum(II) pyridinedipyrrolide complex with a substituted mesityl ligand and fluorine substituents, displaying dual emission.",pubmed_10921383
Pt(MesPDPPh)(BN),toluene,496.0,509.0,0.47,15 M⁻¹cm⁻¹ (496 nm),5870.2,"A platinum(II) pyridinedipyrrolide complex with a substituted mesityl ligand, showing strong dual emission.",pubmed_10921383
Pt(MesPDPt-BuPh)(BN),toluene,496.0,509.0,0.74,15 M⁻¹cm⁻¹ (496 nm),92266.52,"A platinum(II) pyridinedipyrrolide complex with a substituted tert-butylphenyl ligand, featuring strong dual emission.",pubmed_10921383
Pt(MesIPDPC6F5)(BN),toluene,491.0,514.0,0.85,11 M⁻¹cm⁻¹ (491 nm),5710.2,"A platinum(II) pyridinedipyrrolide complex with iodine and fluorine substituents, showing strong dual emission.",pubmed_10921383
null,null,null,null,null,null,null,null,pubmed_11504423
null,null,null,null,null,null,null,null,pubmed_10465535
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_10416578
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_10226408
