canonical_smiles,iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper,iupac_resolved,smiles_resolved,inchi_resolved
4-(9-anthryl)phenyl o-carborane,chloroform,408.0,592.0,0.7,null,7.7,crystal measurement,pubmed_11912618,No,No,No
4-(9-anthryl)-3-bromo-phenyl o-carborane,chloroform,419.0,619.0,0.26,null,2.9,crystal measurement,pubmed_11912618,No,No,No
"4-(9-anthryl)-3,5-dibromo-phenyl o-carborane",chloroform,422.0,625.0,0.26,null,3.2,crystal measurement,pubmed_11912618,No,No,No
4-(9-anthryl)-3-thienyl-phenyl o-carborane,chloroform,432.0,637.0,0.6,null,7.5,crystal measurement,pubmed_11912618,No,No,No
"4-(9-anthryl)-3,5-dithienyl-phenyl o-carborane",chloroform,434.0,671.0,0.22,null,3.5,crystal measurement,pubmed_11912618,No,No,No
"fluorene-co-C,C'-diaryl-o-carborane",chloroform,491.0,700.0,0.06,null,1.0,film measurement,pubmed_11912618,No,No,No
"bithiophene-co-C,C'-diaryl-o-carborane",chloroform,494.0,729.0,0.02,null,null,film measurement,pubmed_11912618,No,No,No
C2B–CN,null,null,635.0,null,null,null,Trimer defect with lower HR factor and better photoluminescence properties,pubmed_11912567,No,No,No
example_1,example_2,715.63,456.05,0.38,null,88801.21,null,pubmed_11912505,No,No,No
[Au],gold nanorods,none provided,808.0,null,null,none provided,null,Gold nanorods exhibit surface plasmon resonance peaks at approximately 808 nm (longitudinal) and 510 nm (lateral).,pubmed_11912115,Yes,No,No
"HPAR-3,5DOM",PBS pH 7.4,636.0,715.0,0.069,41000 (636 nm),null,Fluorogen used in NIR imaging with high brightness and photostability.,pubmed_11911394,No,No,No
platinum(II)octaethylporphyrin,null,381.0,645.0,0.4,null,60500.0,"PtOEP exhibits strong luminescence with a large Stokes shift and long lifetime, used for oxygen sensing and self-sterilization via singlet oxygen generation.",pubmed_11907296,No,No,No
probe 1,water,495.0,460.0,null,null,3.72,Probe exhibits low inherent fluorescence in aqueous medium due to loose-bolt effect.,pubmed_11907283,No,No,No
HDQ-NA-AFU-Gal,"PBS (10 mM, pH 6) with 5% DMSO",420.0,550.0,null,null,null,Dual-enzyme activated fluorescent probe for precise identification of senescence. The probe emits green fluorescence upon AFU activation.,pubmed_11913032,No,No,No
"au18(2,4-dimethylbenzenethiolate)14",toluene,620.0,890.0,0.001,null,9.0,enhanced stability due to aromatic ligand interactions,pubmed_11912569,No,No,No
au18(cyclohexanethiolate)14,toluene,567.0,890.0,0.001,null,21.0,less stable compared to au18(dmbt)14 but similar plqy,pubmed_11912569,No,No,No
FPhOH6MI,MeOH,445.0,570.0,null,null,null,Ratiometric excitation probe at pH 7.4,pubmed_11912499,No,No,No
DFPhOH6HI,MeOH,450.0,570.0,0.15,null,null,Emission in FL DNA duplex with ratiometric response to hybridization,pubmed_11912499,No,No,No
